sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12
55849,11313,17716,42038,53532,9984,11529,31764,5656,58885,48897,40224
61737,21041,20788,49718,58908,9728,2825,37652,17944,61701,30977,1569
12330,49457,48692,15159,9501,10240,4105,36372,11544,6405,1026,28960
48169,14897,11060,44598,54556,9728,57096,7188,14872,50949,47873,6432
7210,39729,38196,8503,8477,10240,49928,44307,5656,62213,5122,56608
54569,17457,14900,51254,59932,13824,61704,58643,8472,56581,20737,49184
3882,36145,32308,3639,5917,9984,40712,24340,6168,54533,5634,1825
36905,305,60467,29750,47132,9472,35592,39188,1816,60932,47105,38176
16426,49201,43316,15159,12573,12288,43272,12308,46615,774,62721,60192
9258,43057,37172,9527,8733,11520,7689,63763,39191,34565,27137,48160
1578,35377,28980,1591,3357,12544,14089,2068,51223,9221,40192,59168
6442,41009,35124,7735,6941,10496,34312,16660,64791,13574,29441,59424
42025,6449,1332,37174,47132,10496,61704,14613,46872,64516,44801,14624
32297,5169,62259,34358,47644,11520,14344,49685,14361,58884,41473,39968
4650,48433,40500,14391,8989,10240,25608,7701,1305,31493,37889,1313
40489,14385,564,42550,49948,10240,22536,39700,38424,58629,42753,48672
61993,40241,25396,3383,1053,10240,51463,36372,14360,62212,59905,27936
65065,41009,30260,9527,4381,9984,61959,60435,16664,17669,30977,6177
59177,31793,21044,64310,64540,10240,10504,11796,13592,28933,50689,25120
1322,39217,28980,4919,1821,10496,40456,58388,36888,4613,36097,36128
53033,27441,17460,58678,56604,10752,64776,21268,28696,6661,35329,52256
49705,33329,23348,1335,57884,9984,60936,11028,21272,18181,38913,61472
38697,14897,2612,46134,42524,9728,46088,24340,10264,8709,36097,48928
30505,8497,57907,36406,36124,11264,52232,24340,57111,59908,22273,45856
48169,17713,3124,48694,44316,14080,36616,12052,51991,12805,8705,27680
48937,20273,5940,50742,44828,13568,45320,4116,50967,64004,25857,31776
56873,43313,28980,10551,61468,9472,41736,22548,61719,9221,17665,39968
57385,40753,21300,3383,57884,9984,45832,22548,20760,10757,14081,18465
52521,31793,12596,58166,51996,10496,41480,8212,14616,4101,35329,30240
810,51761,33844,12855,64796,11008,22536,19988,3608,7685,36865,3873
20009,6705,52787,31030,31516,10752,23560,9236,50967,8965,51713,45344
43817,33073,16180,58422,50972,10240,28936,10516,42775,4869,1538,51232
54057,40497,22068,823,56092,10752,30984,49683,27159,26628,15617,56096
33577,15665,58419,38710,41756,11520,34824,34579,19735,26117,11777,24864
64809,54833,30772,14647,797,10752,32264,16916,19479,48388,12801,58911
51753,43825,17716,2615,56348,13056,29704,9236,48919,61956,39425,33312
64041,53809,26420,13111,61980,9984,31496,788,64791,43780,35329,10784
41513,22321,60979,47158,43036,9728,16392,2068,51479,40964,9217,36384
48425,28977,65331,53558,43036,9728,30472,35603,32279,25093,44545,25888
38697,17969,53043,39734,37660,9728,17672,58899,25623,36868,23297,17952
3882,52017,23860,11831,59164,11008,23304,60947,28183,38148,17921,9504
54569,32049,820,55094,44060,10240,9992,788,39959,4613,30465,14368
62761,37169,5684,60214,51740,9984,25864,20756,38167,4101,8193,44832
7466,46897,14388,3895,58652,10240,21768,17940,33303,17157,34817,61728
59689,35377,4148,58934,49436,10240,11016,10772,21271,48132,54273,17440
48681,22833,57907,45366,36636,10496,22280,55059,13591,39940,18177,43808
15146,51505,20276,10039,54300,10752,28424,36115,63766,36357,17921,40992
19754,55089,24884,15671,57628,10496,6920,13588,61206,11269,20993,34080
2858,40497,8756,1591,48924,9728,20232,22548,24599,28676,62464,58400
57641,27697,62003,53046,36380,9728,8456,57363,37399,43012,24321,40992
41513,14641,48179,36918,25116,10496,8456,40723,41751,54276,35841,21024
12586,59953,31028,21047,53276,11776,25352,46867,5911,52484,17921,16672
11818,63025,32820,24119,51996,10240,46344,55571,62486,51460,23809,16672
54569,35121,7732,60982,29468,13056,44552,45843,41750,65028,30465,22816
40489,17457,54323,41782,18204,9984,51464,64531,43286,2565,24577,15648
47401,27185,63795,52534,28956,13568,55816,18452,31766,6405,1793,25120
6954,52529,22580,13111,41756,9984,60936,28948,279,23813,9729,65056
8746,54065,24628,15415,44060,11008,39944,29972,8727,62724,27905,40992
10026,55345,28980,19767,43804,13056,39432,57619,6679,48900,28929,38176
