sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12
16171,46388,3639,11320,33561,8448,51724,63488,6173,13061,23298,29728
52010,13364,31286,38199,16665,11264,62476,63232,797,11269,26626,30752
22315,55092,10551,17976,38681,11008,269,57856,1565,18693,34050,35872
10795,40244,62006,4152,31001,12544,1805,1281,541,13317,30466,32544
22315,53556,10295,18232,38169,11264,11021,1793,7453,25349,29954,27168
2603,30772,52534,59447,25369,13824,17677,1793,4893,35845,27394,30752
4395,32308,54326,61751,25369,9984,25869,5121,541,39173,28930,24864
8235,36404,58678,65335,27929,10240,35085,60416,12061,47877,34818,29984
63530,23604,45366,52023,22041,10496,41741,65280,14365,38405,32258,25888
16171,45364,2615,10040,33305,9984,49677,64768,10781,46597,38914,33824
57130,16436,37686,44343,16409,11776,1294,61184,2333,48133,33538,33312
19499,50996,8247,15672,35097,10240,2318,51456,10525,40709,40706,38176
20523,51508,9783,16952,36377,9728,13838,59392,8477,55557,35842,44576
22315,54068,11831,19000,36633,10752,14350,52736,3101,50181,28162,46880
20779,54324,11831,19256,37657,10240,21774,59392,6173,54789,31234,43808
58154,23604,44854,52023,21273,9984,27662,51456,5149,61445,30210,50464
5675,39988,61494,3640,29977,13568,27662,48128,65308,52741,28930,55072
12843,50996,7223,14904,35865,9984,29454,48384,4637,59653,20226,44576
15147,54324,10551,18744,36889,9984,33550,41472,64028,61445,28418,36640
56874,25140,45622,53559,19993,9984,35598,41984,58396,64005,26882,47392
60970,31284,51766,58935,23065,10496,40206,47616,55836,5382,29186,36896
45866,13620,33590,40503,13337,10240,37902,43008,60956,7942,15874,36128
48938,18228,38198,45367,15385,10496,33038,37632,56860,6,25090,32800
16683,60212,16439,24120,37913,9728,33550,31232,51484,7686,24322,32544
49706,21044,41270,48439,14873,9984,36622,47872,44572,5126,25602,24864
49962,23348,43062,50487,15129,10496,28686,47616,44828,2054,20226,38944
3115,48436,3639,11320,28185,12544,27918,40704,41756,63749,25858,31776
53546,33844,54582,61751,22553,13568,24078,38144,48412,57605,28162,33824
64042,50228,4663,12344,33305,10240,31502,46336,48668,59653,27906,31520
35882,17460,37174,44599,14617,11264,30990,32000,50716,58629,26370,30752
3883,60980,15671,23864,36377,9728,27150,49152,45852,59397,19714,30240
64298,55604,10551,18744,35097,10752,28942,42240,40732,58373,24066,36896
36650,21812,40502,48183,18201,10496,33038,36864,44316,1286,28930,34848
4907,65076,20023,27960,41753,9984,33550,39424,44316,63493,25858,26656
54058,45876,65334,7480,30233,10496,36110,40704,42268,4614,24578,40736
50730,42292,62774,4920,27417,12544,35342,48384,41500,18438,14338,32032
