sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12
25909,21553,4919,22073,60186,10752,22536,20482,54814,4611,27649,57376
25141,19505,4151,21817,58650,12032,16648,23810,60446,1539,20993,63776
57396,54064,35382,51768,39962,10240,16392,23554,59678,8707,25857,61216
61748,57392,39478,55608,42266,11520,15624,22786,60702,11779,22017,1313
34357,28977,13111,30777,64282,10752,19976,23298,54814,5891,25089,33
14645,8241,58166,10041,55322,9472,24072,19458,53534,13827,21505,62496
30517,24625,9015,26937,61466,11520,18696,17410,47646,12035,15105,56608
36917,29233,15415,33849,27,10240,26376,17666,55582,7939,19201,59680
64052,58672,41270,58168,46874,10496,23048,14338,48670,16131,22017,49184
20277,13617,63542,15929,59418,9984,25864,10242,55326,15875,24833,54816
52533,44337,31031,49977,11547,11776,28680,14850,51486,8451,23041,57888
309,61744,43318,60216,47130,10240,26376,16898,48926,8451,23297,63776
4149,64048,46902,64568,48666,9984,27400,13570,44318,11011,20993,58400
14645,7985,57398,10041,53786,13824,27656,14338,49694,14339,20225,58144
29493,23857,7479,26425,63770,10752,23304,28162,47390,8195,17153,52512
54068,47152,30518,47672,39706,10240,23816,14594,49438,9475,20481,50976
49205,39985,27447,47417,8987,9728,31752,15106,45086,10243,13313,54048
26165,17969,3639,22841,60954,9984,32520,22274,42526,12803,12289,46112
14133,4401,55862,9017,54042,13312,25864,14594,42270,5123,12033,53536
48949,38449,26167,46393,6683,10496,23048,18434,50718,6659,6913,47136
59444,51504,35126,53304,41242,11008,26888,14082,43550,13571,5121,51488
57652,48944,33334,51256,40218,9472,28424,9474,54046,7939,11265,48928
33589,22833,10807,30265,64794,9984,27400,16898,38686,5635,13825,56608
20021,9265,62006,15673,56090,9728,31752,13570,43806,12035,8449,45600
37685,27185,14647,34361,795,10240,36104,16642,45598,4867,24833,49952
61236,50992,36918,55352,44058,8960,30216,7938,47902,2819,13569,45856
43573,32817,20279,40761,6171,9728,28424,25602,47646,17923,15873,49440
24885,14129,1591,21049,58650,9472,33288,26882,48670,9219,19201,50720
4917,60720,46134,64568,48154,9728,36616,17922,51742,6403,20225,49696
26933,16433,3639,22585,60954,10496,22536,21506,50206,4611,14081,50208
8757,64816,50742,3385,49690,9984,18952,10754,54814,1539,12033,36640
3381,57904,44086,62520,43802,12288,22024,19970,48414,2563,11521,41760
34869,23857,11575,30777,63258,9984,17928,32770,52766,4355,11265,44576
42293,32049,19511,38713,795,10240,18696,15874,58398,12547,9729,45600
38965,28209,16183,35641,795,9984,20744,19970,50462,2563,14337,47904
64820,56368,40502,58168,44058,10240,16136,21506,60702,9475,10497,42272
50997,40241,28471,48697,8219,12032,18440,17666,55326,12035,17665,40992
23605,13361,567,19769,58394,9472,22536,20738,62238,4611,27649,43040
2101,58160,44086,61752,43802,9728,17672,23554,53534,61698,24833,40224
2613,58416,44854,62520,44058,9472,13832,20738,65054,7683,10497,45856
3637,60208,45878,63544,43802,10752,19208,18946,60446,5123,12289,47648
25141,14641,2103,21049,56858,11776,23560,16386,58654,63746,13825,55584
7477,63536,49718,1849,45850,10240,12552,18946,5919,62978,21505,53280
27957,16945,4663,23353,58650,10240,19976,16386,5919,63746,9217,57376
12597,2353,54582,7225,49178,9472,22792,15618,57118,1283,19457,46112
59956,52016,35638,53560,37658,10496,11784,23554,31,64258,20481,50720
65076,55600,40758,58168,40986,10496,11528,15362,5663,1539,20481,49184
63540,53296,39478,56888,39194,9472,11016,5634,7967,64258,16129,53280
32821,21041,9271,28217,59418,10752,8968,16386,7711,63234,25601,47648
19509,8241,60726,13881,50970,9984,2056,5378,9247,64002,22529,55328
42293,30513,18487,37945,63770,10240,64263,13314,4895,56578,16897,47904
37941,24881,14647,34105,59418,10496,2824,5890,64798,56066,18433,45856
24373,13105,567,19513,53786,9984,63751,16898,2591,3843,19457,50976
33845,21297,10295,29241,60698,11520,62471,14338,2079,259,17921,53536
62004,52272,37430,55096,37402,11008,60935,13570,4127,62210,15873,56352
64052,53552,39222,56632,39450,9472,8,11778,2079,59394,10497,56096
64052,54064,39478,56888,38682,9984,3592,7426,2847,1027,15873,52000
19509,7729,60982,13625,51482,10240,56071,5122,8223,61954,18945,58400
17205,6193,58422,11321,49690,10240,63239,9474,9247,63234,17921,52256
62004,52016,36662,53304,39706,10496,60935,4098,2079,63234,7681,51744
41781,28977,18231,36921,27,9728,60935,6402,3615,62978,9985,52768
23093,11569,64566,16953,53786,10240,63495,5378,3359,58370,14593,53536
23861,12337,567,17977,52762,9728,4616,7682,3103,63234,17665,58656
38453,25393,15159,33337,61978,10240,59399,55809,13087,60930,5889,49184
48437,37937,25399,43321,1819,14080,58375,6402,3615,57346,4865,51488
30005,17713,6455,24121,55834,9984,60935,3330,2335,62466,9729,53024
5429,60720,46390,63288,42010,10496,58887,9474,2591,58114,20993,55072
4917,59696,46134,63288,39706,9728,61191,8706,5663,59906,14849,48928
25909,14129,2103,20025,54042,9984,64263,3842,2847,65026,8961,55840
49205,36913,26167,44601,4123,12544,520,9474,5151,58114,11265,64032
22069,11825,64054,16185,53786,10240,64519,258,287,61442,6913,47648
24885,13361,823,19001,56090,9728,3848,65281,58398,56834,14337,54816
2869,58928,44086,60728,44826,10240,62471,2562,63774,60674,21761,56608
25653,14385,2103,19769,57626,11776,2824,61953,2847,1283,18177,53024
821,55600,41782,58168,41754,9728,264,6658,2591,65026,8705,60704
30261,18993,6711,24121,58906,9984,3848,4866,543,36610,55296,33
28725,16689,5175,23097,59930,10496,58119,30979,31263,38403,31745,50720
58676,49712,34358,51000,39962,11776,27144,2305,51742,57858,17665,60192
31797,20529,8503,26425,62234,9984,5640,514,60958,61954,64512,65056
33589,22065,10551,28729,62490,9984,17928,14082,58398,10243,4097,52768
34357,23089,11575,29497,64026,10240,24328,14082,44318,5123,13057,54304
13621,4145,55606,7481,51226,9984,11016,2050,53790,5379,7425,2337
19509,10033,61750,14393,53274,9728,14088,3842,61470,4867,6913,55072
37941,27697,14903,33337,27,11520,19464,16386,62750,7171,10753,56352
25397,15665,1591,19513,56858,12032,27144,8194,63006,515,11265,61216
46645,36401,23095,42297,4635,10496,22536,17154,58910,5379,12033,54816
28213,19249,4151,22329,58906,9472,32776,11266,58654,2819,13313,48160
6197,65328,47414,64824,46362,10240,26888,7938,57374,7939,9473,52000
7221,1329,48694,825,48410,10496,21768,12546,55070,11011,12801,54816
8501,817,49718,2105,46618,9728,26632,12290,57630,11267,16385,53536
31797,24113,7735,26681,61210,10496,27912,12546,50974,14083,23553,52768
4149,63280,44598,62520,43546,12800,37896,16386,59166,10499,13825,53792
37173,30769,13623,32569,61978,10496,36872,7426,59422,13571,13569,52256
16693,10801,57910,10553,50202,10240,32776,14850,61726,15619,5633,60448
21045,15409,62518,15161,56602,10496,37640,18946,54558,13827,6401,56352
1589,62256,42806,60728,45082,10240,44552,19458,58142,11267,10753,51744
30773,23857,6711,25657,63258,10240,38920,18178,49438,10499,17409,56352
31797,24625,8247,26937,65050,10496,33544,14850,51486,17155,14593,59680
11829,4401,52790,5689,51994,9984,38152,12546,50462,19971,16129,56864
16949,7985,57910,11065,56602,13312,43528,11778,54814,12803,6913,56096
30517,22577,6455,25401,64282,9984,45064,12802,50206,23043,13057,54816
10805,1585,52022,4665,50714,9216,44040,24322,53534,16643,12545,44576
31541,24625,7991,26937,283,10752,50952,20226,46878,19971,15361,56352
1845,59184,43062,60728,46106,12544,46600,31234,53790,16643,11265,56352
12597,3889,54582,6969,53018,9472,48904,24066,53022,18435,16897,2337
15157,6705,56630,9785,56090,9728,44808,15618,53278,15619,18433,58912
37173,28977,13879,32825,2843,11264,39944,22530,45086,11011,19969,55328
22581,13361,63798,17209,60186,9984,45064,20482,52510,12803,22529,54304
309,58672,41526,58936,47642,9984,44808,20738,59166,11267,8705,58144
63796,55600,39222,56888,45850,9472,50440,22786,44830,12291,18177,1057
21557,11569,63030,16441,60698,9728,42504,23042,44574,9987,18433,57120
