sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12
10549,3379,51514,62777,1050,9728,36873,32514,51998,9220,33025,46624
40756,35378,12346,24633,46873,12032,34313,27906,54558,2308,35073,55584
10549,4147,51258,62777,2330,10752,38409,33026,54814,3076,32513,57888
309,58930,39994,51513,62233,9728,40969,32258,51486,6660,36609,47648
4149,61234,43834,55609,63513,9472,32265,35330,51742,260,36865,42272
51764,44850,24122,35897,53785,9984,44553,43266,55326,3844,34049,53280
52788,45618,25402,36921,53529,10240,47369,27394,46878,4356,41217,56352
55348,47666,28218,39993,54809,9728,46857,32002,43550,15364,38401,53792
32565,25139,9787,20794,12058,10240,46345,25602,47390,5380,38401,46368
58932,52274,32570,43833,57113,9984,44809,33538,47390,9220,37889,49952
57396,50482,30522,42553,57369,9728,48649,32002,54046,9220,36865,50464
44340,39986,15418,27193,51225,12032,49673,38146,47646,12036,44033,52000
33588,27954,4154,16441,42777,10496,47881,36610,48158,65027,36609,40992
48436,41522,19770,31801,51737,10496,47625,30722,44062,3844,36865,56352
51764,45106,24122,35641,53529,9472,53001,32258,41502,13316,36097,51488
52276,45874,23866,35897,53017,10496,54793,29442,43294,11780,39681,53280
25397,17715,571,11578,9498,10496,48393,27394,42526,7172,37377,48928
51252,44082,23354,34617,51993,9728,54281,19714,39198,5892,30977,53280
33332,26418,2874,14905,42521,10240,58889,28930,49182,7684,35073,38688
56116,48434,28474,39993,55577,9472,62985,24578,38430,2820,27905,53280
9525,2355,48698,59961,2074,11008,65289,28930,35870,65283,38401,51488
39732,32306,9786,21817,47385,11520,61193,30722,37662,4868,38145,48672
13877,6963,53562,64569,5914,11008,60937,26114,34078,61187,45569,50976
23605,16691,64570,9786,10266,10752,62217,27650,29470,63747,31489,56096
47924,41266,19514,31033,51481,10240,62985,25602,39454,61955,33793,49696
5941,63794,45114,56377,65305,9984,63497,29186,32542,3076,35585,51744
10549,2355,49978,60985,2842,11520,61961,27650,38430,61443,29185,47648
10037,3123,49722,60729,2842,12032,64009,18178,35358,260,28929,49696
48692,41778,20282,31801,52249,10496,63497,28674,35358,4,33537,51744
26933,19507,2875,13626,11290,9984,4106,27138,36126,3844,20225,44320
32564,25138,1850,13625,41497,10496,7946,26626,32542,59907,35329,56352
25909,18483,2363,12858,10266,10240,10506,26114,33054,4,26113,51488
8501,563,48186,59193,538,9728,522,23298,28702,63747,20225,49440
9781,2355,49210,60473,1818,10240,4106,24578,31518,64515,20737,51488
13365,4915,53050,64057,2330,9984,1802,28930,32542,59651,37889,46624
14389,5939,54586,65337,3354,9984,3594,22274,28958,57859,34049,45088
41524,33586,12090,23609,48153,9472,2570,21762,25886,65283,26113,44320
22069,12851,62266,7738,8218,9984,778,21762,26142,59395,29185,43808
3893,61234,42554,53305,61977,10496,61193,29698,30494,58371,30209,44832
52788,45362,23866,35385,54041,10496,1802,24578,31006,57347,26369,48416
54580,45874,25914,37433,52761,9728,3850,23042,32542,56579,24321,49696
13365,4915,52538,63545,1818,10752,778,14082,33054,60675,16897,42272
38708,30514,8250,20025,45081,10240,10,17666,30750,54019,29441,46112
14645,5427,53562,64569,4634,9984,61961,18690,25886,60675,27905,43552
43572,35890,14394,25913,48921,9472,65289,16898,25630,55811,24065,45344
45620,38450,15930,27449,51481,10240,3082,20994,28702,47619,18433,49440
48948,42034,20026,31801,52505,10240,58633,12546,22814,47875,23297,50720
48948,41266,20282,31289,51993,9984,62473,20482,22302,56067,28417,44320
51764,44082,23866,34873,54553,9984,50185,14082,27678,58371,25345,34592
61748,54578,34106,45369,58393,14080,54793,5890,26654,57603,20481,47136
8757,563,48442,59193,26,10240,64777,11010,24350,57603,25089,43552
29749,21811,6715,16954,13850,9984,60937,7170,25118,48131,22529,34336
38964,31538,9530,20793,48153,9728,52489,13058,30494,54531,15361,46880
64820,57394,37946,48953,63513,10496,44809,11778,30750,59907,26113,47904
10037,1587,49722,60217,3866,11520,48137,6658,21790,57347,14081,38176
49972,42546,22330,33337,54297,9984,46345,17922,30750,49667,27137,40992
