sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample12
48695,50996,62774,63799,23825,9472,59651,63463,62740,10243,56320,49696
12856,14389,26423,27704,34833,9984,4,60647,54548,15107,54528,55072
35640,37429,49463,51000,44049,10752,58115,60647,60436,11523,59136,54048
62775,65332,11319,12344,30481,10240,3076,60903,56596,7683,56320,48160
26424,28469,40503,41272,39697,10240,2564,3304,56596,10499,56320,51744
57399,59700,6199,6712,29201,11776,6404,3048,55060,13571,56576,48672
52535,55348,1591,2104,28177,9728,5124,58855,58388,11267,62720,50208
60471,62772,9015,9784,29457,9472,6404,59367,58644,7939,61696,56864
2616,3893,16695,17464,30481,9728,8452,1000,64020,10499,62720,46112
10040,11061,23351,24888,34577,9728,8708,3048,56852,11011,2305,50720
31800,31541,45623,46904,42769,10240,12804,3304,60948,13059,513,46880
11320,12341,24887,26168,33297,9216,18692,1768,60948,11779,60416,44064
3384,4149,17719,18744,29969,8960,14340,3048,58644,16387,56064,49440
52791,54068,1847,2616,22289,9472,16132,8936,59412,14083,57600,42016
58679,60724,7479,8248,25617,10496,25604,65511,59924,11523,59648,46112
14136,14645,27959,28728,31505,12544,35588,5096,60180,10499,63488,45856
25656,24629,39223,40504,36625,11776,19972,7400,58644,19715,59904,45344
6712,7989,21047,21816,30481,10240,21764,16616,2069,9475,59136,41760
55607,57396,5431,5432,24593,10240,36356,15080,65044,7171,65024,43552
59447,60980,8247,8760,24593,9984,38660,8168,4629,13827,61184,34080
20024,21045,34615,35640,36369,10496,35844,11496,9237,5635,58880,29984
4408,5173,18999,19256,30737,9984,41732,13288,5141,7171,63744,30496
53815,55860,2615,3128,22289,10240,36356,15848,4629,14595,64256,31776
15928,15925,30007,31032,35089,9984,40964,11240,1301,21251,60672,39712
23352,23349,37431,38456,38161,9984,38660,12264,6421,12035,7425,34848
47416,46901,60983,62520,47633,10752,44804,5864,2581,14339,1,27680
4408,5173,18999,19512,30481,9728,51204,14568,9749,22019,4097,36896
28728,28469,42807,43576,39953,9984,53252,3304,6421,12291,2305,37152
30520,29749,44087,45112,39185,9728,51204,4328,11797,13571,8193,34848
50488,49461,63799,65080,50449,11264,58884,4328,4373,21763,8705,32032
59959,60724,8247,9528,29201,10240,50948,63975,1301,20483,5121,46112
62775,63284,11575,12344,31761,9984,59396,65511,62484,26627,5377,56352
12856,12853,26935,27960,36881,13056,54788,59111,64020,30211,16385,50976
4408,6453,18487,19512,33553,10496,59908,59111,58644,33539,10497,46112
4664,5941,18743,19768,32785,10496,57860,57575,55060,31747,16385,57888
32568,33077,45879,47416,43793,11264,60164,48871,56340,35331,14337,57632
64311,53,13111,13880,32273,9728,58884,62439,53012,35587,14081,62496
20792,22069,34615,35640,40977,13056,57348,60135,58900,28931,14081,63008
25656,26677,39479,40760,40465,10752,54788,48103,57620,41987,26625,1313
31800,32565,45623,47160,46609,11008,55044,48871,46356,41987,16385,33
35384,35893,48951,50488,47121,10240,64004,47335,46868,36867,13569,1569
31288,31541,45367,46392,43793,10752,59396,56807,48660,30467,15617,8481
60983,62772,10295,10552,29457,9728,54020,46823,44564,37123,10753,3361
22328,23349,36407,37432,39697,10240,56836,53991,47892,33027,11009,3105
13624,15157,28215,28728,37137,13056,52228,57831,46868,33283,20225,5665
4664,6197,19511,19768,31505,9728,53508,50663,49940,33027,16129,545
58935,61492,8247,8504,28177,10240,48644,58343,45076,36099,15873,62496
56887,58932,6199,6712,27409,9472,47108,59623,46868,34819,16897,64800
5944,7733,20791,21304,33809,13824,52740,64743,47124,31747,16129,57632
21304,22837,35895,36664,37905,9728,56068,62439,48404,30979,10497,52000
4664,6965,18999,19768,33297,9728,49156,59623,44052,30723,4609,51232
34616,35637,48695,49720,44817,10496,45060,57831,45332,32771,1537,50208
14392,15925,29239,29752,37393,9728,43012,63463,44308,23555,3841,60448
17720,18741,32311,32824,37393,9728,45828,62439,46356,36099,1793,54304
24376,25653,38711,39480,39697,10240,45828,60647,48404,28675,3585,59680
56375,58420,5431,5432,26641,10496,43780,64487,46868,27139,7937,52512
19000,20789,33591,34616,37393,10240,42500,744,57876,22019,4609,65056
43320,43829,57911,58936,47377,9728,43268,3304,49684,24067,3073,59168
4664,6453,19767,19768,33297,10240,40452,2024,48404,22019,65280,46112
25144,27189,40247,40504,41745,11776,35588,2792,54036,20739,10753,55328
58679,61492,8247,8248,29457,10240,34308,64487,53524,26883,5889,52000
22840,25141,37687,38200,38929,10496,32772,2280,46612,22019,6657,53280
7224,8757,21815,22328,33041,13056,31236,62695,54548,30723,10241,52256
7224,9269,22071,22584,33297,9472,33796,1768,55316,25603,5633,51488
31288,32821,45879,46648,40465,10240,35844,2792,53268,20227,8193,59424
57143,60212,6967,6712,25617,9984,23044,62439,54292,22531,9217,52256
24376,27189,39223,39736,38417,10496,24068,63719,62228,21763,62720,52000
44344,45877,58423,59704,46097,11008,16644,60647,57876,21507,5633,50464
51255,55604,1079,1336,24593,10496,20484,63719,44564,17411,2561,50720
14392,17461,29495,30008,35857,10496,15108,62695,55060,24579,5121,59168
63287,821,13367,13624,30481,9728,12292,60647,51220,25091,63232,60704
24120,25909,39479,40248,39697,9728,11012,5864,51476,10243,3585,4385
53559,57652,3639,3384,26385,11008,11780,63207,50708,10499,5377,60448
10040,12597,24887,25656,33041,10240,9732,62951,50964,12547,1793,55584
32568,34613,47159,47928,45073,11520,6404,6376,57364,12803,62720,56352
824,3637,15671,15928,31249,9984,4356,1256,61972,8963,51456,54048
56,2869,15159,15416,31761,9472,4100,63463,54292,12035,57088,55072
9784,12341,25143,25400,35089,9984,1028,488,51476,17411,58880,42784
16440,19253,31799,32312,36113,9984,62211,6888,60692,3843,64000,46880
20536,23349,35639,35896,38161,10240,59395,4328,58132,8707,49664,47136
45367,49716,60726,60471,24081,10496,60163,2536,59412,12035,60928,49952
28984,31285,44087,44600,42769,10496,61699,65255,55316,3075,56832,48672
12088,14389,27447,27704,35601,9728,516,65511,55316,3587,59392,45088
36408,39477,51255,52024,44305,10496,57603,4328,48916,62978,57600,51232
31032,33333,46391,46648,42257,10752,63747,3816,49684,5891,46080,50720
25656,28725,40759,41528,42001,12800,64515,6376,50964,59650,51712,46880
568,3637,16183,16184,32785,13312,60419,4328,55316,515,48128,42784
16184,18997,31799,31800,39185,9728,58627,59111,58644,3587,54272,40736
23352,25397,38711,38968,39697,11776,60163,9960,52244,62722,41728,37920
30776,33077,45879,46392,43793,10496,55555,3048,56596,2307,49664,45600
31800,34613,47159,47928,45329,11264,58883,4584,54804,60418,46080,44576
30008,32821,45367,45624,43281,11264,61187,10216,62228,515,54528,38432
19256,22581,34615,35128,39697,10240,62723,4584,57876,4355,41216,41248
26424,29493,41271,42040,41489,10752,58371,8936,51732,62978,47104,40480
52023,56372,2359,2104,25873,9984,54275,12264,50452,62722,51456,37920
13624,16693,28983,29496,36369,9984,53763,7400,46356,2819,41984,43040
28984,30773,43831,44600,42257,11008,52227,18152,44564,5891,46080,52000
31288,32309,46391,46904,43537,10240,54531,8936,46356,58882,49408,49696
31032,32309,46135,46648,42513,10752,54531,7656,45588,4867,46080,40224
30520,32053,45367,46136,42001,13568,49923,14056,46356,3,45312,33824
21048,22069,36151,36664,37393,12288,55555,7656,53268,58114,47616,37920
7992,10293,23607,23864,34321,10240,47875,13288,46612,64258,43776,42784
55095,57396,5175,5176,26129,9472,54275,7400,47636,61442,43776,30240
18488,20021,33847,34616,37393,9728,44803,18408,47380,59394,36096,32800
18232,18997,33079,33336,37393,13824,50691,19944,53780,62722,37888,28192
54327,56884,4407,4664,25361,10752,55811,20456,43028,60162,39680,32032
57143,59188,6967,7480,24849,9728,516,10216,52500,1027,35840,25376
44088,44597,58935,59960,44817,10240,54531,12520,49684,62466,37120,21024
32056,33077,46647,47160,42001,13824,56067,16872,54036,2051,38400,27936
28472,30005,44087,44600,38161,10240,55555,19944,48660,64770,37120,23584
10808,12853,26167,26936,30481,9728,56323,19176,47636,65026,47360,22560
15416,16693,30519,30776,32785,12544,58371,11496,54804,62722,41472,21024
62519,65332,12343,12856,25361,9728,64515,20200,43028,54786,42496,28448
25912,26677,40503,41528,37393,9984,56323,11496,48404,2307,42496,29472
50232,50229,64567,569,46353,10240,55043,12264,44564,64002,44800,19232
57655,60980,7735,7480,23825,10496,57347,488,39956,1027,39936,35616
30008,31029,44599,45624,38929,11264,56067,13544,44564,7171,43776,35616
21304,22837,36407,37432,34321,12288,58883,2536,42516,3331,43520,40224
54839,58420,4919,5176,21777,10240,55043,8936,38164,1283,45312,39968
62263,65332,12343,12344,23057,9728,56323,5096,38420,3587,48128,46624
2872,6453,18487,18488,27409,10240,60419,3816,33812,10755,45056,49696
4408,7221,19767,20536,27665,9984,61443,59879,41748,10243,41472,50720
54583,58420,4663,4664,23825,11520,60931,1256,41492,7427,51200,47392
32056,34101,46647,47672,38673,11520,2052,61415,29716,19971,43776,56352
28728,30773,43831,44600,37137,11776,4100,58855,35860,8963,51968,53024
24120,26165,38967,39992,35345,9984,60419,55783,35092,12035,43008,53792
25656,26165,40247,41272,35345,9216,9220,56039,37140,14083,47616,50208
62263,5429,12343,11832,30225,14336,7172,64231,39188,10755,34304,46368
26936,28981,42039,42808,36625,9984,1796,62695,44564,7683,40704,54560
49463,53044,65078,65079,18449,9728,11268,64231,47892,11267,51968,49440
10552,13621,25399,25912,29201,10240,8964,64743,55316,9987,46336,54304
32568,34869,47159,48440,38417,11264,14084,61159,48660,8195,44288,48416
56,2613,14903,15672,25361,13568,7428,62183,45588,12547,42496,49184
21048,23349,35639,36920,32273,9984,14084,60903,49428,5379,45056,39456
27192,29493,41527,43064,35857,10752,17668,54503,50196,7683,51712,49696
56375,59700,5687,6456,21265,9984,17668,54759,55316,10499,46592,43808
22584,25141,36919,38456,34833,10752,19716,53735,46612,13059,35328,50976
46135,50484,61494,62007,19473,11008,17924,57831,57108,13571,56320,50464
56119,59956,5175,6200,21521,11520,13316,60647,55060,12291,41728,43808
7480,10549,22583,23608,28433,10240,25860,58343,58132,13571,49920,41248
50744,51509,64823,1081,44817,10752,25348,42983,55316,11267,53248,43552
9784,12085,24887,25656,29969,9984,14340,48871,49684,12547,47616,51488
54839,57652,4151,5176,20753,9728,21252,49895,59156,13571,50176,55840
59447,62516,8503,9528,23569,10752,22788,43751,58388,10499,43776,57632
41272,41781,55095,56376,40721,10752,22020,42471,57364,19203,58880,56864
1592,3381,15671,16696,28433,9728,28676,38119,55828,25859,52992,59936
21816,22837,35895,37432,36369,12544,26884,48871,59924,24835,49152,60192
26680,28213,41015,42808,38417,9984,26884,38375,61460,24323,51968,61216
4920,7221,19511,20536,31249,9984,26372,39143,60948,25859,59904,289
11832,13365,25911,27448,34065,9728,26372,33255,63252,27651,54272,56608
32312,33333,46647,48184,42257,10752,30724,43751,63252,34051,58112,2337
27448,28213,41271,42808,41233,11520,36612,46823,63764,31235,56064,1569
23352,24117,37431,38712,40209,12032,24324,39143,57876,40451,49664,5409
33080,33589,46647,48440,45329,13056,32516,39143,58132,35075,54784,801
21304,23349,35895,37176,39953,10240,32004,38631,63252,32515,53760,2849
22840,24117,36663,38456,41489,9984,27396,32487,60180,33283,52224,63520
10296,12597,24119,25656,37905,14080,36612,32999,59668,29443,54528,3873
4664,6197,18743,20024,36625,13056,31236,27367,61460,27139,61952,2849
49208,49717,63031,64824,53521,10752,35076,36071,58132,33283,51712,289
54839,58676,3639,4920,32529,10240,32516,41191,21,43011,57088,7713
20536,22837,34615,36408,42513,9984,37892,30183,63508,34307,59392,6433
24888,26933,39479,41016,43793,10496,36612,46823,55060,28163,52992,545
25400,26421,39735,41272,43025,9728,31748,43495,2069,31235,57600,4897
5176,7221,19511,20536,33041,9984,38660,34791,55060,41987,64256,1569
9528,9525,23351,24632,35089,12288,21764,39143,59924,30467,61440,4897
27192,34101,42295,43576,45329,14080,38916,38119,59668,32259,62720,64800
58167,60468,6967,7736,28433,12032,40708,38119,56596,40707,60928,1825
