sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8
25882,56116,4904,31751,51202,10752,10240,10496
44058,17461,25640,32775,49922,10752,10496,10496
44058,17461,25640,32775,49922,10752,10496,10496
37146,1589,13096,31239,50178,10752,10496,11008
37146,1589,13096,31239,50178,10752,10496,11008
40730,6453,17192,30727,50178,10496,10496,10752
40730,6453,17192,30727,50178,10496,10496,10752
16922,35380,54823,31751,50690,10752,10496,10752
16922,35380,54823,31751,50690,10752,10496,10752
20762,42804,60711,32263,50434,10752,10496,11008
20762,42804,60711,32263,50434,10752,10496,11008
9754,26932,48423,30727,50690,10752,10752,10496
9754,26932,48423,30727,50690,10752,10752,10496
37146,6197,17192,30471,52226,10496,10496,10496
37146,6197,17192,30471,52226,10496,10496,10496
27418,53812,3112,31495,52482,10752,10240,10752
27418,53812,3112,31495,52482,10752,10240,10752
36890,3893,15144,32007,50946,10752,10496,10752
36890,3893,15144,32007,50946,10752,10496,10752
32026,62516,9768,30471,50434,10496,10240,10496
32026,62516,9768,30471,50434,10496,10240,10496
21786,44596,62503,31751,53250,10752,10496,10496
21786,44596,62503,31751,53250,10752,10496,10496
26138,51508,2600,32775,50178,11008,10496,10752
26138,51508,2600,32775,50178,11008,10496,10752
29978,58420,7208,32007,50434,10496,10240,10752
29978,58420,7208,32007,50434,10496,10240,10752
44570,19509,27944,33799,51970,10496,10496,10752
44570,19509,27944,33799,51970,10496,10496,10752
17946,40244,59687,35079,51970,10752,10496,10752
17946,40244,59687,35079,51970,10752,10496,10752
26650,54580,4648,34823,50434,10752,10240,10752
26650,54580,4648,34823,50434,10752,10240,10752
29978,59700,8488,33543,51970,10496,10496,10752
29978,59700,8488,33543,51970,10496,10496,10752
46874,20533,28712,33799,51714,10752,10496,11008
46874,20533,28712,33799,51714,10752,10496,11008
25114,49716,1320,35591,52482,10752,10240,11008
25114,49716,1320,35591,52482,10752,10240,11008
27930,55092,5160,34311,52738,10752,10496,10752
27930,55092,5160,34311,52738,10752,10496,10752
39194,6709,17704,35079,52738,10496,10240,10496
39194,6709,17704,35079,52738,10496,10240,10496
23066,44852,63015,34311,52226,10496,10496,10752
23066,44852,63015,34311,52226,10496,10496,10752
25114,50740,2088,34311,52226,10496,10496,10752
25114,50740,2088,34311,52226,10496,10496,10752
30490,58420,7976,34567,51714,10752,10752,11008
30490,58420,7976,34567,51714,10752,10752,11008
47130,19509,27688,34823,53250,10752,10240,10752
47130,19509,27688,34823,53250,10752,10240,10752
20506,38964,58407,37127,51458,10752,10240,11008
20506,38964,58407,37127,51458,10752,10240,11008
48666,18997,27176,37127,50946,10496,10496,10752
48666,18997,27176,37127,50946,10496,10496,10752
19738,37684,57639,36871,50946,10752,10496,11008
19738,37684,57639,36871,50946,10752,10496,11008
35354,63540,11560,36871,51202,10496,10240,10496
35354,63540,11560,36871,51202,10496,10240,10496
38170,3637,15656,35335,51202,10496,10496,10752
38170,3637,15656,35335,51202,10496,10496,10752
39962,7221,18216,35591,52226,10752,10496,10752
39962,7221,18216,35591,52226,10752,10496,10752
40218,7221,18984,38407,51202,10496,10496,10752
40218,7221,18984,38407,51202,10496,10496,10752
22042,43572,61991,33799,53506,10752,10496,10752
22042,43572,61991,33799,53506,10752,10496,10752
36378,4149,16424,35079,52994,10752,10240,10752
36378,4149,16424,35079,52994,10752,10240,10752
15386,31540,53031,35079,52738,10752,10496,10752
15386,31540,53031,35079,52738,10752,10496,10752
38682,6709,18472,35335,53250,10752,10240,10752
38682,6709,18472,35335,53250,10752,10240,10752
20762,41268,60711,37127,51970,11008,10496,10752
20762,41268,60711,37127,51970,11008,10496,10752
23834,42548,61735,36871,52226,10752,10496,10752
23834,42548,61735,36871,52226,10752,10496,10752
34586,63796,11560,36871,53250,10752,10752,10752
34586,63796,11560,36871,53250,10752,10752,10752
37914,4405,16168,34567,52994,10752,10752,10752
37914,4405,16168,34567,52994,10752,10752,10752
24090,44084,62247,34823,52994,11008,10496,10752
