sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8
7707,23857,60712,29959,47874,10752,10240,10752
7707,23857,60712,29959,47874,10752,10240,10752
47130,48688,28712,31751,47874,10752,10496,10752
47130,48688,28712,31751,47874,10752,10496,10752
51482,56368,34344,29191,49154,10752,10496,11008
51482,56368,34344,29191,49154,10752,10496,11008
63258,11825,50216,30983,47874,10240,10240,10752
63258,11825,50216,30983,47874,10240,10240,10752
1051,15921,53544,28679,47618,10752,10496,10752
1051,15921,53544,28679,47618,10752,10496,10752
48154,54064,30248,30215,47874,10496,10496,10752
48154,54064,30248,30215,47874,10496,10496,10752
283,12849,51240,27399,48642,10752,10496,10752
283,12849,51240,27399,48642,10752,10496,10752
13851,35889,3625,31495,48130,10752,10496,10752
13851,35889,3625,31495,48130,10752,10496,10752
57370,2865,42792,29959,48898,10496,10496,10752
57370,2865,42792,29959,48898,10496,10496,10752
61466,8753,47144,30983,48386,10496,10752,10752
61466,8753,47144,30983,48386,10496,10752,10752
65050,14897,51752,32519,48898,10496,10496,10496
65050,14897,51752,32519,48898,10496,10496,10496
13339,35633,1321,33287,48130,10496,10496,11008
13339,35633,1321,33287,48130,10496,10496,11008
46618,51760,26920,31751,48642,10752,10496,10752
46618,51760,26920,31751,48642,10752,10496,10752
45082,54832,30504,34055,49154,10240,10752,10752
45082,54832,30504,34055,49154,10240,10752,10752
3099,27441,59432,32775,47874,10496,10496,10752
3099,27441,59432,32775,47874,10496,10496,10752
39962,46128,22312,30983,47874,10496,10240,10752
39962,46128,22312,30983,47874,10496,10240,10752
54810,4401,41256,31239,48386,10496,10496,10496
54810,4401,41256,31239,48386,10496,10496,10496
49690,59952,32552,29959,48898,10752,10496,10752
49690,59952,32552,29959,48898,10752,10496,10752
37914,41520,18216,30727,48642,10752,10496,10752
37914,41520,18216,30727,48642,10752,10496,10752
42266,48432,23592,28679,49154,11008,10240,10752
42266,48432,23592,28679,49154,11008,10240,10752
57882,7729,43048,29447,48130,10752,10496,11008
57882,7729,43048,29447,48130,10752,10496,11008
60954,13873,47144,30727,48642,10752,10752,10752
60954,13873,47144,30727,48642,10752,10752,10752
8475,35121,63784,31239,49410,10496,10496,10752
8475,35121,63784,31239,49410,10496,10496,10752
42266,50992,24872,30215,48898,10496,10496,10752
42266,50992,24872,30215,48898,10496,10496,10752
58394,12081,45096,30215,48386,10752,10752,10752
58394,12081,45096,30215,48386,10752,10752,10752
8219,34865,63016,28935,49666,10752,10496,10752
8219,34865,63016,28935,49666,10752,10496,10752
40730,46640,21544,28423,48898,10496,10496,10496
40730,46640,21544,28423,48898,10496,10496,10496
45082,53808,26664,27655,48642,10752,10496,10752
45082,53808,26664,27655,48642,10752,10496,10752
47642,59184,30760,29703,49922,10496,10752,10752
47642,59184,30760,29703,49922,10496,10752,10752
50714,49,35368,29703,49666,10752,10496,10752
50714,49,35368,29703,49666,10752,10496,10752
41498,48176,21288,29959,49666,10496,10240,10752
41498,48176,21288,29959,49666,10496,10240,10752
46106,53296,25640,29191,48898,10752,10240,10496
46106,53296,25640,29191,48898,10752,10240,10496
4891,28209,57640,30471,48386,10496,10240,10752
4891,28209,57640,30471,48386,10496,10240,10752
51738,65072,35368,29191,48386,10752,10496,10496
51738,65072,35368,29191,48386,10752,10496,10496
55066,4657,41000,28167,49922,10752,10496,10496
55066,4657,41000,28167,49922,10752,10496,10496
59162,11313,45352,30471,48642,10752,10240,10752
59162,11313,45352,30471,48642,10752,10240,10752
36634,39472,16936,31495,49666,10496,10240,10752
36634,39472,16936,31495,49666,10496,10240,10752
61722,16689,50216,30983,48898,10496,10240,10496
61722,16689,50216,30983,48898,10496,10240,10496
53786,3377,39976,32263,50434,10752,10496,10752
53786,3377,39976,32263,50434,10752,10496,10752
5659,30001,60968,34055,47874,10752,10240,10752
5659,30001,60968,34055,47874,10752,10240,10752
49690,59184,32552,33031,48386,10752,10496,10496
49690,59184,32552,33031,48386,10752,10496,10496
4891,25905,57896,31751,50178,10496,10496,10496
4891,25905,57896,31751,50178,10496,10496,10496
50458,59184,33064,32775,48642,10752,10496,10752
50458,59184,33064,32775,48642,10752,10496,10752
63258,15665,49960,29959,48898,10752,10496,10752
63258,15665,49960,29959,48898,10752,10496,10752
9499,31025,61480,29703,47874,10496,10496,10752
9499,31025,61480,29703,47874,10496,10496,10752
46618,50992,25896,28679,48898,10496,10496,10752
46618,50992,25896,28679,48898,10496,10496,10752
61722,10801,45352,30215,47618,10752,10240,10752
61722,10801,45352,30215,47618,10752,10240,10752
40218,40496,17192,28423,49154,10240,10496,10496
