sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8
50965,6423,34353,35847,55042,10752,10240,10752
53013,8983,40497,35079,54786,11008,10496,10752
53013,8983,40497,35079,54786,11008,10496,10752
56853,9751,47409,35079,54018,10496,10496,10496
56853,9751,47409,35079,54018,10496,10496,10496
60437,12567,54065,34055,54530,10496,10240,10752
60437,12567,54065,34055,54530,10496,10240,10752
22,20247,61745,36615,54274,10496,10752,10752
22,20247,61745,36615,54274,10496,10752,10752
3350,25111,2354,36103,54018,10752,10496,10752
3350,25111,2354,36103,54018,10752,10496,10752
5142,27415,4914,34055,54274,10496,10496,10752
5142,27415,4914,34055,54274,10496,10496,10752
1558,24855,63025,36103,55042,10752,10496,10752
1558,24855,63025,36103,55042,10752,10496,10752
49173,8215,31025,36615,54530,10752,10240,11008
49173,8215,31025,36615,54530,10752,10240,11008
61205,22551,54577,36103,54530,10752,10496,10752
61205,22551,54577,36103,54530,10752,10496,10752
65045,27927,60721,34823,54530,10752,10496,10752
65045,27927,60721,34823,54530,10752,10496,10752
57365,20247,45617,36615,54530,10496,10240,10496
57365,20247,45617,36615,54530,10496,10240,10496
61973,25367,53041,36359,54530,10752,9984,10496
61973,25367,53041,36359,54530,10752,9984,10496
65301,26903,60209,36615,54530,10752,10496,10752
65301,26903,60209,36615,54530,10752,10496,10752
2070,29463,818,36103,54274,10496,10240,10752
2070,29463,818,36103,54274,10496,10240,10752
3350,32535,4658,35591,54274,10752,10240,10752
3350,32535,4658,35591,54274,10752,10240,10752
53269,18711,38705,34823,54530,10496,10496,10752
53269,18711,38705,34823,54530,10496,10496,10752
58133,18455,45617,34567,54530,11008,10240,10752
58133,18455,45617,34567,54530,11008,10240,10752
3350,28951,2610,34823,54274,11008,10752,11008
3350,28951,2610,34823,54274,11008,10752,11008
14102,44567,17970,33799,55042,10752,10752,10752
14102,44567,17970,33799,55042,10752,10752,10752
2838,30999,63537,33031,53506,10752,10496,10752
2838,30999,63537,33031,53506,10752,10496,10752
4374,29719,2610,35079,55298,11008,10496,10752
4374,29719,2610,35079,55298,11008,10496,10752
6166,39447,4914,36359,54018,10752,10240,10496
6166,39447,4914,36359,54018,10752,10240,10496
64533,24599,56369,34823,53762,10752,10240,11008
64533,24599,56369,34823,53762,10752,10240,11008
61717,27415,50481,35847,50690,10752,10496,10496
61717,27415,50481,35847,50690,10752,10496,10496
9494,37143,10546,34567,53762,10752,10496,10752
9494,37143,10546,34567,53762,10752,10496,10752
2582,36119,59185,36359,54786,10752,10496,10496
2582,36119,59185,36359,54786,10752,10496,10496
49941,11799,29745,35847,54018,10496,10240,10752
49941,11799,29745,35847,54018,10496,10240,10752
55573,22551,36913,35847,54530,10752,10496,10752
55573,22551,36913,35847,54530,10752,10496,10752
57365,18711,43313,35847,53762,10752,10496,10496
57365,18711,43313,35847,53762,10752,10496,10496
62997,27671,50737,35079,54018,10496,10496,10752
62997,27671,50737,35079,54018,10496,10496,10752
1046,30487,59953,36103,55042,10752,10496,10752
1046,30487,59953,36103,55042,10752,10496,10752
4886,37143,818,37639,55042,10752,10240,10496
4886,37143,818,37639,55042,10752,10240,10496
55061,20503,37425,36359,53506,10752,10496,10752
55061,20503,37425,36359,53506,10752,10496,10752
51477,15383,34353,35847,53762,10752,10240,10496
51477,15383,34353,35847,53762,10752,10240,10496
534,32023,60721,36615,54274,10752,10240,10496
534,32023,60721,36615,54274,10752,10240,10496
58133,23063,45873,34567,53506,10752,10496,10752
58133,23063,45873,34567,53506,10752,10496,10752
6422,36631,6706,34055,53506,10496,10496,10240
6422,36631,6706,34055,53506,10496,10496,10240
13846,48663,15154,35847,54274,10752,10240,10752
13846,48663,15154,35847,54274,10752,10240,10752
59925,26135,46385,35335,54274,10752,10240,10496
59925,26135,46385,35335,54274,10752,10240,10496
6934,38423,6450,33543,53250,10496,10752,10496
6934,38423,6450,33543,53250,10496,10752,10496
53013,17175,35377,35079,54018,10752,10496,10752
53013,17175,35377,35079,54018,10752,10496,10752
49941,13079,30513,33799,53506,10752,10240,10752
49941,13079,30513,33799,53506,10752,10240,10752
53781,18967,36657,34311,53250,10496,10496,10752
53781,18967,36657,34311,53250,10496,10496,10752
57877,28439,45105,34311,54018,10496,10240,10752
57877,28439,45105,34311,54018,10496,10240,10752
60437,30999,51249,33543,54274,10496,10496,10752
60437,30999,51249,33543,54274,10496,10496,10752
63253,29975,57393,33287,54018,10496,10496,10240
63253,29975,57393,33287,54018,10496,10496,10240
4374,37143,64305,32263,53506,10752,10240,10752
4374,37143,64305,32263,53506,10752,10240,10752
16150,47383,20274,34823,54018,10752,10496,10496
16150,47383,20274,34823,54018,10752,10496,10496
54037,18455,36145,34055,53762,10496,10240,10240
54037,18455,36145,34055,53762,10496,10240,10240
58389,27159,43057,34311,53762,10496,10496,10752
58389,27159,43057,34311,53762,10496,10496,10752
3862,35351,64305,34823,53762,10496,10240,10752
3862,35351,64305,34823,53762,10496,10240,10752
54549,23831,34609,34311,54530,10752,10496,10496
54549,23831,34609,34311,54530,10752,10496,10496
2582,32535,59953,34567,54274,10752,10496,10496
2582,32535,59953,34567,54274,10752,10496,10496
7958,40983,1586,34823,54274,10496,10496,10752
7958,40983,1586,34823,54274,10496,10496,10752
8982,39959,4914,35847,53762,10496,10496,10752
8982,39959,4914,35847,53762,10496,10496,10752
8214,41239,1842,34823,52738,10752,10240,11008
8214,41239,1842,34823,52738,10752,10240,11008
62741,28695,46129,34311,54018,10496,10496,10752
