sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8
50709,46612,38193,29191,53762,10496,10496,10496
50709,46612,38193,29191,53762,10496,10496,10496
61461,50708,45105,30471,52994,10496,10496,10752
61461,50708,45105,30471,52994,10496,10496,10752
2326,55316,53297,30727,54530,10496,10496,10752
2326,55316,53297,30727,54530,10496,10496,10752
64021,58388,59697,30215,54786,10752,10496,10496
64021,58388,59697,30215,54786,10752,10496,10496
1558,61204,1074,31751,54274,10496,10496,10752
1558,61204,1074,31751,54274,10496,10496,10752
3862,1557,5170,32263,54530,10752,10240,10752
3862,1557,5170,32263,54530,10752,10240,10752
3094,63508,2098,32263,55042,10752,10496,11008
3094,63508,2098,32263,55042,10752,10496,11008
49429,46100,32305,32263,55298,10752,10240,11008
49429,46100,32305,32263,55298,10752,10240,11008
6678,2069,8754,30983,54786,10752,10496,10496
6678,2069,8754,30983,54786,10752,10496,10496
2326,60436,1842,32007,55042,10496,10240,10752
2326,60436,1842,32007,55042,10496,10240,10752
51477,46356,36657,31751,55298,10752,10496,10752
51477,46356,36657,31751,55298,10752,10496,10752
278,59412,55089,31495,53762,10752,10496,10752
278,59412,55089,31495,53762,10752,10496,10752
5910,62484,62001,32775,53506,10496,10496,10752
5910,62484,62001,32775,53506,10496,10496,10752
55573,47124,36401,32519,54530,10752,10240,10496
55573,47124,36401,32519,54530,10752,10240,10496
55829,47124,34609,32263,54018,10496,10752,10752
55829,47124,34609,32263,54018,10496,10752,10752
4886,59668,60977,30727,54786,10496,10496,10496
4886,59668,60977,30727,54786,10496,10496,10496
5654,61716,1074,32007,52994,10496,10240,10496
5654,61716,1074,32007,52994,10496,10240,10496
54293,46612,33841,32263,56066,10752,10496,10752
54293,46612,33841,32263,56066,10752,10496,10752
59669,52756,41521,31751,55042,10752,10240,10752
59669,52756,41521,31751,55042,10752,10240,10752
60437,52756,47665,31239,54274,10752,10496,10752
60437,52756,47665,31239,54274,10752,10496,10752
60949,63508,56113,32263,54786,10496,10240,10752
60949,63508,56113,32263,54786,10496,10240,10752
63253,64020,62769,30215,54274,10752,10240,10752
63253,64020,62769,30215,54274,10752,10240,10752
2070,2837,3890,33031,54786,10752,10240,10752
2070,2837,3890,33031,54786,10752,10240,10752
49173,55316,38193,32263,55042,10496,10496,10752
49173,55316,38193,32263,55042,10496,10496,10752
60693,60180,62513,30215,55042,10496,10496,10496
60693,60180,62513,30215,55042,10496,10496,10496
1814,5397,4402,31751,55810,10496,10240,11008
1814,5397,4402,31751,55810,10496,10240,11008
52501,48404,35377,30727,56066,10752,10496,10752
52501,48404,35377,30727,56066,10752,10496,10752
61973,55060,48945,31495,55554,10496,10240,10496
61973,55060,48945,31495,55554,10496,10240,10496
1302,3349,57393,32263,56066,10752,10496,11008
1302,3349,57393,32263,56066,10752,10496,11008
2070,533,59185,31495,55298,10752,10240,10752
2070,533,59185,31495,55298,10752,10240,10752
53013,48916,30001,32263,55810,10496,10240,10496
53013,48916,30001,32263,55810,10496,10240,10496
57877,59156,38193,32775,55554,10752,10496,10752
57877,59156,38193,32775,55554,10752,10496,10752
5654,4629,63025,33031,55042,11008,10496,10752
5654,4629,63025,33031,55042,11008,10496,10752
3606,9493,4658,30983,55042,10752,10240,10752
3606,9493,4658,30983,55042,10752,10240,10752
51477,53268,36913,28935,55042,10752,10496,10752
51477,53268,36913,28935,55042,10752,10496,10752
63509,3093,62513,29703,55298,10496,10496,10752
63509,3093,62513,29703,55298,10496,10496,10752
44821,54036,28465,30215,56578,10496,10496,10752
44821,54036,28465,30215,56578,10496,10496,10752
48661,57364,35633,32263,56066,10752,10496,10752
48661,57364,35633,32263,56066,10752,10496,10752
54293,58644,42033,33031,55298,10496,10496,10752
54293,58644,42033,33031,55298,10496,10496,10752
56341,62740,49969,31751,55554,10752,10496,10752
56341,62740,49969,31751,55554,10752,10496,10752
60693,7701,56881,30727,56066,11008,10240,10752
60693,7701,56881,30727,56066,11008,10240,10752
62997,14869,64049,32519,56322,10752,10752,10752
62997,14869,64049,32519,56322,10752,10752,10752
790,13589,4402,31239,56066,10752,10496,10496
790,13589,4402,31239,56066,10752,10496,10496
2070,11797,4402,31751,54786,11008,10496,11008
2070,11797,4402,31751,54786,11008,10496,11008
53781,4629,45873,32775,55810,10496,10496,11008
53781,4629,45873,32775,55810,10496,10496,11008
47125,62996,31025,32775,56066,10496,10240,10752
47125,62996,31025,32775,56066,10496,10240,10752
52501,61716,37169,32007,55554,10496,10752,10752
52501,61716,37169,32007,55554,10496,10752,10752
53269,4117,45105,31239,55298,10752,10240,10752
53269,4117,45105,31239,55298,10752,10240,10752
