sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8
63765,30508,35376,37127,50178,10496,10496,10752
7190,45100,50480,35591,49666,10752,10496,10752
7190,45100,50480,35591,49666,10752,10496,10752
10774,47660,55600,38151,49154,11008,10240,10752
10774,47660,55600,38151,49154,11008,10240,10752
15638,56620,62256,39687,49154,10496,10496,10752
15638,56620,62256,39687,49154,10496,10496,10752
60693,22060,27952,38919,49410,10752,10496,10496
60693,22060,27952,38919,49410,10752,10496,10496
7190,44588,52016,38151,49154,10752,10496,10752
7190,44588,52016,38151,49154,10752,10496,10752
12822,49964,58160,39175,49922,10752,10496,10752
12822,49964,58160,39175,49922,10752,10496,10752
17686,56364,63792,43527,49154,11008,10240,10752
17686,56364,63792,43527,49154,11008,10240,10752
17686,60972,3121,40199,49666,10752,10752,10752
17686,60972,3121,40199,49666,10752,10752,10752
16150,60204,3633,44551,48642,10752,10240,10752
16150,60204,3633,44551,48642,10752,10240,10752
11286,47148,57392,39943,48898,11008,10240,10752
11286,47148,57392,39943,48898,11008,10240,10752
59925,21548,28976,39431,48898,10752,10240,10752
59925,21548,28976,39431,48898,10752,10240,10752
64021,28460,35632,39431,48642,10496,10496,10752
64021,28460,35632,39431,48642,10496,10496,10752
1302,34604,42032,44551,48642,10752,10240,10752
1302,34604,42032,44551,48642,10752,10240,10752
12054,57644,65328,42759,49922,10496,10496,10752
12054,57644,65328,42759,49922,10496,10496,10752
16150,61740,4145,40199,48898,10752,10496,10752
16150,61740,4145,40199,48898,10752,10496,10752
64277,29740,37424,39431,50178,10496,10240,10496
64277,29740,37424,39431,50178,10496,10240,10496
22806,5677,15153,38663,50178,10752,10240,11008
22806,5677,15153,38663,50178,10752,10240,11008
5142,38956,47408,38663,50178,10752,10752,10752
5142,38956,47408,38663,50178,10752,10752,10752
62485,22060,30768,38407,48898,10496,10240,10752
62485,22060,30768,38407,48898,10496,10240,10752
9494,46636,56368,37383,48386,10496,10496,10496
9494,46636,56368,37383,48386,10496,10496,10496
12054,51500,62256,37895,49666,10752,10496,10496
12054,51500,62256,37895,49666,10752,10496,10496
16406,58412,2097,40711,49154,10752,10496,10752
16406,58412,2097,40711,49154,10752,10496,10752
16918,57388,2097,40199,48898,10752,10496,10752
16918,57388,2097,40199,48898,10752,10496,10752
9238,46124,57136,40711,48642,10496,10496,10752
9238,46124,57136,40711,48642,10496,10496,10752
59157,22572,29744,39687,49410,10752,10240,10496
59157,22572,29744,39687,49410,10752,10240,10496
61973,24108,32304,38919,49154,10496,10496,10496
61973,24108,32304,38919,49154,10496,10496,10496
10262,46892,56880,37639,48898,10752,10496,10496
10262,46892,56880,37639,48898,10752,10496,10496
11798,53804,63792,36615,49922,10752,10240,10752
11798,53804,63792,36615,49922,10752,10240,10752
14102,58924,3121,36615,49154,10752,10496,11008
14102,58924,3121,36615,49154,10752,10496,11008
14614,58156,1329,38407,49922,10752,10496,10752
14614,58156,1329,38407,49922,10752,10496,10752
5398,39724,50224,37639,49666,10752,10752,10752
5398,39724,50224,37639,49666,10752,10752,10752
57621,17964,28976,36103,49666,10496,10240,10496
57621,17964,28976,36103,49666,10496,10240,10496
58901,23084,34352,36103,50178,10496,9984,10752
58901,23084,34352,36103,50178,10496,9984,10752
1046,29996,40496,35847,49922,10752,10240,10752
1046,29996,40496,35847,49922,10752,10240,10752
4886,36140,46896,37895,50178,10496,10496,11008
4886,36140,46896,37895,50178,10496,10496,11008
11286,49452,59440,39431,49666,10752,10496,10496
11286,49452,59440,39431,49666,10752,10496,10496
17174,55084,63536,38151,48898,10752,10496,10752
17174,55084,63536,38151,48898,10752,10496,10752
26390,6445,15153,38663,49922,10496,10240,10496
26390,6445,15153,38663,49922,10496,10240,10496
64277,24620,34352,38663,49410,10752,10240,10496
64277,24620,34352,38663,49410,10752,10240,10496
12566,47916,58416,39175,49410,10496,10496,10496
12566,47916,58416,39175,49410,10496,10496,10496
18966,53548,64304,38919,49666,10496,10752,10752
18966,53548,64304,38919,49666,10496,10752,10752
22294,57900,1073,39431,49922,11008,10496,10752
22294,57900,1073,39431,49922,11008,10496,10752
5142,30252,39216,41735,49666,10752,10240,11008
5142,30252,39216,41735,49666,10752,10240,11008
7446,32556,44080,41223,50178,10752,9984,10752
7446,32556,44080,41223,50178,10752,9984,10752
14614,42796,50992,41735,50946,10752,10496,10752
14614,42796,50992,41735,50946,10752,10496,10752
15126,44844,54576,37127,48898,10496,10496,10752
15126,44844,54576,37127,48898,10496,10496,10752
62741,13612,20528,37383,48386,11008,10240,10752
62741,13612,20528,37383,48386,11008,10240,10752
12566,38188,46640,37895,49666,10496,10240,10496
12566,38188,46640,37895,49666,10496,10240,10496
15126,44076,52784,37895,49922,10752,9984,10752
15126,44076,52784,37895,49922,10752,9984,10752
18198,50220,57904,36615,49410,10752,10496,10752
18198,50220,57904,36615,49410,10752,10496,10752
20246,54572,63792,37895,49922,11008,10752,10752
20246,54572,63792,37895,49922,11008,10752,10752
22294,56364,817,38407,49410,10752,10496,10752
22294,56364,817,38407,49410,10752,10496,10752
22038,53804,64560,39687,51458,10752,10496,10752
22038,53804,64560,39687,51458,10752,10496,10752
8470,31276,41264,37639,49154,10752,10496,10752
8470,31276,41264,37639,49154,10752,10496,10752
32022,5421,15153,38407,49154,10752,10496,10752
32022,5421,15153,38407,49154,10752,10496,10752
14870,40748,50992,41223,48642,10752,10240,10496
14870,40748,50992,41223,48642,10752,10240,10496
6678,27948,35120,40455,47618,10752,10496,11008
6678,27948,35120,40455,47618,10752,10496,11008
1302,22572,28464,40711,51714,10496,10496,10752
1302,22572,28464,40711,51714,10496,10496,10752
10518,38956,44080,41991,50690,10496,10240,10752
10518,38956,44080,41991,50690,10496,10240,10752
16662,44844,49968,41223,49666,10496,10496,10752
16662,44844,49968,41223,49666,10496,10496,10752
21014,50476,56880,40199,50178,10752,10496,10496
21014,50476,56880,40199,50178,10752,10496,10496
23318,54828,61488,39431,50178,10752,10496,10752
23318,54828,61488,39431,50178,10752,10496,10752
4886,21804,27696,39431,50434,10752,10496,10752
4886,21804,27696,39431,50434,10752,10496,10752
25622,49964,57648,38919,50690,10752,10752,10752
25622,49964,57648,38919,50690,10752,10752,10752
26134,53548,60464,38919,49666,10752,10240,10752
26134,53548,60464,38919,49666,10752,10240,10752
8726,23852,30512,36871,50434,10496,10496,10752
8726,23852,30512,36871,50434,10496,10496,10752
7446,21548,29744,38151,51458,10752,10496,10752
7446,21548,29744,38151,51458,10752,10496,10752
21014,45100,54064,37383,49922,10752,10496,10496
21014,45100,54064,37383,49922,10752,10496,10496
25110,51500,62256,38407,50178,10496,10752,11008
25110,51500,62256,38407,50178,10496,10752,11008
28694,57900,817,38407,50178,10752,10496,10752
28694,57900,817,38407,50178,10752,10496,10752
25366,56876,65328,39431,49922,10752,9984,10752
25366,56876,65328,39431,49922,10752,9984,10752
12566,32300,41520,40455,50690,10240,10496,10752
12566,32300,41520,40455,50690,10240,10496,10752
4118,18476,25136,41479,50434,10752,10496,10752
4118,18476,25136,41479,50434,10752,10496,10752
18710,40492,48944,40711,50434,10752,10496,10752
18710,40492,48944,40711,50434,10752,10496,10752
20246,46636,55344,40199,52226,10496,10240,10752
20246,46636,55344,40199,52226,10496,10240,10752
34582,7725,12593,39687,50434,10752,10496,10752
34582,7725,12593,39687,50434,10752,10496,10752
3606,19244,24624,40455,49922,10496,10496,10752
3606,19244,24624,40455,49922,10496,10496,10752
18966,46892,50224,39943,50946,10496,10496,10496
18966,46892,50224,39943,50946,10496,10496,10496
28438,1581,8241,40199,52482,10496,10496,10496
28438,1581,8241,40199,52482,10496,10496,10496
13846,38444,42032,40967,50178,10752,10496,11264
13846,38444,42032,40967,50178,10752,10496,11264
5398,21036,25904,41735,50434,10752,10496,10752
5398,21036,25904,41735,50434,10752,10496,10752
8726,28460,31280,38407,50690,10752,10496,10752
8726,28460,31280,38407,50690,10752,10496,10752
22550,49964,55600,37383,48386,10496,10496,11008
22550,49964,55600,37383,48386,10496,10496,11008
8982,25900,28976,40455,50178,10752,10240,10752
8982,25900,28976,40455,50178,10752,10240,10752
5142,23084,25648,38663,49410,11008,10240,10496
5142,23084,25648,38663,49410,11008,10240,10496
31254,64300,3377,38663,48642,10752,10496,10752
31254,64300,3377,38663,48642,10752,10496,10752
13590,32812,35120,37895,49154,10752,10496,10496
13590,32812,35120,37895,49154,10752,10496,10496
28438,54060,59952,38919,48898,10752,10752,10496
28438,54060,59952,38919,48898,10752,10752,10496
22038,40748,44336,40199,51458,11008,10496,10752
22038,40748,44336,40199,51458,11008,10496,10752
24086,45356,49712,38919,50434,10752,10496,10496
24086,45356,49712,38919,50434,10752,10496,10496
27414,47404,50992,38151,52482,10752,10496,10752
27414,47404,50992,38151,52482,10752,10496,10752
23830,42284,47152,37639,50178,10752,10496,10752
23830,42284,47152,37639,50178,10752,10496,10752
28694,46124,52784,38919,49922,10752,10496,11008
28694,46124,52784,38919,49922,10752,10496,11008
30742,55340,59184,39175,51714,10752,10496,10752
30742,55340,59184,39175,51714,10752,10496,10752
34582,56876,62256,38407,52226,10752,10496,10752
34582,56876,62256,38407,52226,10752,10496,10752
35606,56108,63280,36359,49666,10496,10240,10496
35606,56108,63280,36359,49666,10496,10240,10496
18966,28972,34864,37127,50434,10496,10496,10496
18966,28972,34864,37127,50434,10496,10496,10496
33814,53036,59184,37127,50434,10752,10496,10496
33814,53036,59184,37127,50434,10752,10496,10496
37142,56108,62512,36359,48386,10752,10496,10496
37142,56108,62512,36359,48386,10752,10496,10496
34326,52524,59696,37639,50434,10752,10496,10752
34326,52524,59696,37639,50434,10752,10496,10752
24342,36396,42288,36359,49410,10496,10240,10752
24342,36396,42288,36359,49410,10496,10240,10752
23062,38444,42288,36871,49154,10752,10240,10752
23062,38444,42288,36871,49154,10752,10240,10752
29462,48428,53552,39431,49154,10496,10240,10752
29462,48428,53552,39431,49154,10496,10240,10752
41750,65324,3121,38407,50946,11008,10496,10752
41750,65324,3121,38407,50946,11008,10496,10752
29462,48684,53808,37895,48898,10752,10240,10752
29462,48684,53808,37895,48898,10752,10240,10752
12054,19244,22576,38407,49666,10752,10496,10752
12054,19244,22576,38407,49666,10752,10496,10752
35350,60716,65328,39687,49922,10496,10240,10752
35350,60716,65328,39687,49922,10496,10240,10752
17174,28204,31536,37639,49922,10752,10496,10752
17174,28204,31536,37639,49922,10752,10496,10752
22550,34860,37936,38919,49922,10752,10496,10752
22550,34860,37936,38919,49922,10752,10496,10752
24086,40492,43824,37383,49922,10752,10240,10752
24086,40492,43824,37383,49922,10752,10240,10752
27414,45356,48944,39175,49922,10496,10496,10752
27414,45356,48944,39175,49922,10496,10496,10752
27414,46124,48176,40455,49922,10496,10240,11008
27414,46124,48176,40455,49922,10496,10240,11008
19222,36652,38448,40455,49922,10496,10240,10496
19222,36652,38448,40455,49922,10496,10240,10496
31254,58156,60208,39175,50946,10752,10496,10752
31254,58156,60208,39175,50946,10752,10496,10752
29462,55852,58672,39687,49922,10496,10752,10752
29462,55852,58672,39687,49922,10496,10752,10752
17174,37164,36912,39943,48642,10752,10496,10752
17174,37164,36912,39943,48642,10752,10496,10752
19222,42284,43568,39175,48898,10752,10240,10752
19222,42284,43568,39175,48898,10752,10240,10752
24086,48684,49456,39943,47874,10752,10240,10496
24086,48684,49456,39943,47874,10752,10240,10496
27158,53548,55088,40199,50434,10752,10240,10496
27158,53548,55088,40199,50434,10752,10240,10496
9238,20012,20784,37383,48898,10752,10240,10496
9238,20012,20784,37383,48898,10752,10240,10496
12054,25644,26672,39431,50946,10752,10496,10496
12054,25644,26672,39431,50946,10752,10496,10496
26134,48428,50480,37383,48642,10496,10752,10752
26134,48428,50480,37383,48642,10496,10752,10752
18966,31276,32560,40199,50946,10752,10496,10752
18966,31276,32560,40199,50946,10752,10496,10752
9494,20012,21808,38407,50178,10752,10240,10752
9494,20012,21808,38407,50178,10752,10240,10752
15894,26412,27696,38919,52226,10496,10240,10752
15894,26412,27696,38919,52226,10496,10240,10752
29206,47916,50992,37383,49922,10752,10496,10496
29206,47916,50992,37383,49922,10752,10496,10496
7958,16172,17712,36615,49666,10496,10240,10496
7958,16172,17712,36615,49666,10496,10240,10496
13590,24620,25904,38663,50434,10752,10496,10496
13590,24620,25904,38663,50434,10752,10496,10496
15126,29228,32304,37895,49410,10496,10496,10496
15126,29228,32304,37895,49410,10496,10496,10496
16406,32812,36912,39175,50178,10752,10240,10240
16406,32812,36912,39175,50178,10752,10240,10240
20758,38444,41520,38663,51714,10496,10240,10496
20758,38444,41520,38663,51714,10496,10240,10496
23318,45100,47664,38407,48642,10496,10240,10496
23318,45100,47664,38407,48642,10496,10240,10496
29462,50220,53808,35591,48130,10496,10752,10496
29462,50220,53808,35591,48130,10496,10752,10496
30230,52268,58416,36103,49410,10496,10496,10496
30230,52268,58416,36103,49410,10496,10496,10496
30742,54060,59696,36359,50178,10496,10752,10752
30742,54060,59696,36359,50178,10496,10752,10752
16150,26156,30768,35079,49922,10496,10496,10752
16150,26156,30768,35079,49922,10496,10496,10752
29462,49196,54576,36871,49410,11008,10496,10752
