sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8
23832,11565,36145,38407,53506,10752,10240,10496
23832,11565,36145,38407,53506,10752,10240,10496
62999,34860,57648,38151,49666,10752,10496,10752
62999,34860,57648,38151,49666,10752,10496,10752
13080,58412,16689,39431,50434,10752,10240,10752
13080,58412,16689,39431,50434,10752,10240,10752
14360,60204,19249,37383,49922,10496,10240,10752
14360,60204,19249,37383,49922,10496,10240,10752
61719,30764,52784,37639,50690,10752,10496,10752
61719,30764,52784,37639,50690,10752,10496,10752
792,35628,58672,38151,49154,10752,10496,10752
792,35628,58672,38151,49154,10752,10496,10752
22552,3629,31281,38919,50178,10752,10496,10496
22552,3629,31281,38919,50178,10752,10496,10496
61463,23852,48688,37639,50178,10496,10496,10496
61463,23852,48688,37639,50178,10496,10496,10496
2584,29228,53808,37383,50434,10496,10496,10752
2584,29228,53808,37383,50434,10496,10496,10752
16152,54316,13105,38151,50434,10752,9984,10496
16152,54316,13105,38151,50434,10752,9984,10496
7192,36652,63024,36871,50434,10496,10496,10752
7192,36652,63024,36871,50434,10496,10496,10752
16920,51756,15153,38919,50434,10752,10496,10752
16920,51756,15153,38919,50434,10752,10496,10752
280,25132,53040,40455,48898,10752,9984,10752
280,25132,53040,40455,48898,10752,9984,10752
7960,29996,58160,38407,50434,10752,10496,10752
7960,29996,58160,38407,50434,10752,10496,10752
8216,34348,61232,38919,50690,10752,10240,10496
8216,34348,61232,38919,50690,10752,10240,10496
536,25644,50992,38151,50690,11008,10240,10752
536,25644,50992,38151,50690,11008,10240,10752
3608,28716,55856,39431,50946,10496,10496,10752
3608,28716,55856,39431,50946,10496,10496,10752
6168,33068,60976,38407,50690,10752,10496,10752
6168,33068,60976,38407,50690,10752,10496,10752
31768,4653,35889,40199,50946,10752,10496,10752
31768,4653,35889,40199,50946,10752,10496,10752
65303,22828,50992,40455,49922,10752,10240,10496
65303,22828,50992,40455,49922,10752,10240,10496
3608,28204,56624,40967,50946,10752,10240,11008
3608,28204,56624,40967,50946,10752,10240,11008
8984,35372,62512,40711,53506,10752,10496,10496
8984,35372,62512,40711,53506,10752,10496,10496
9496,38188,2865,41991,50690,10752,10496,10752
9496,38188,2865,41991,50690,10752,10496,10752
13080,45612,8753,40455,50946,10752,10496,10752
13080,45612,8753,40455,50946,10752,10496,10752
61463,17452,46640,39943,50946,10752,10496,10752
61463,17452,46640,39943,50946,10752,10496,10752
63767,23340,54320,39943,50946,10752,10496,11008
63767,23340,54320,39943,50946,10752,10496,11008
61207,21548,50992,39943,50434,10752,10240,10752
61207,21548,50992,39943,50434,10752,10240,10752
64535,30508,58416,38407,50690,11008,10496,10752
64535,30508,58416,38407,50690,11008,10496,10752
2328,35884,64048,39943,51202,10752,10240,10496
2328,35884,64048,39943,51202,10752,10240,10496
25112,5165,36913,44551,50690,10752,10240,11008
25112,5165,36913,44551,50690,10752,10240,11008
64791,26412,54576,43271,50434,10752,10496,10752
64791,26412,54576,43271,50434,10752,10496,10752
14360,50476,13873,43783,50690,10752,10496,10752
14360,50476,13873,43783,50690,10752,10496,10752
7704,40748,5937,43271,50946,10752,10496,10752
7704,40748,5937,43271,50946,10752,10496,10752
11288,45356,11825,41735,50434,10752,10240,10752
11288,45356,11825,41735,50434,10752,10240,10752
16664,50732,17201,42759,51202,10752,10240,10752
16664,50732,17201,42759,51202,10752,10240,10752
16664,53292,20785,40967,50690,10752,10496,10752
16664,53292,20785,40967,50690,10752,10496,10752
16920,52524,20785,42503,49922,10752,10496,10752
16920,52524,20785,42503,49922,10752,10496,10752
11288,41516,8241,42503,51202,10752,10496,10752
11288,41516,8241,42503,51202,10752,10496,10752
60439,14892,47408,42503,50946,10752,10240,11008
60439,14892,47408,42503,50946,10752,10240,11008
62487,19244,53808,40967,50434,10752,10496,10752
62487,19244,53808,40967,50434,10752,10496,10752
3608,26156,60976,41223,50690,10496,10240,10752
3608,26156,60976,41223,50690,10496,10240,10752
9240,32812,817,41223,50434,10752,10240,11008
9240,32812,817,41223,50434,10752,10240,11008
22040,55084,25137,42247,50690,11008,10496,11008
22040,55084,25137,42247,50690,11008,10496,11008
19224,50220,18993,42759,50946,10752,10496,10752
19224,50220,18993,42759,50946,10752,10496,10752
3096,25388,60976,41479,51458,10752,10240,10752
3096,25388,60976,41479,51458,10752,10240,10752
6168,29740,1329,39687,50690,10752,10240,10752
6168,29740,1329,39687,50690,10752,10240,10752
9752,35628,6705,40199,52226,10752,10496,10496
9752,35628,6705,40199,52226,10752,10496,10496
22296,56620,29745,40199,52994,10496,10240,10752
22296,56620,29745,40199,52994,10496,10240,10752
5144,29484,817,41735,52994,10752,10496,10752
5144,29484,817,41735,52994,10752,10496,10752
4632,31276,1585,39687,51970,10752,10240,10752
4632,31276,1585,39687,51970,10752,10240,10752
18712,46636,20017,40711,52482,10496,10496,11008
18712,46636,20017,40711,52482,10496,10496,11008
12568,42284,16177,41223,51714,10496,10752,10752
12568,42284,16177,41223,51714,10496,10752,10752
2584,24364,63536,40967,53250,10752,10240,10752
2584,24364,63536,40967,53250,10752,10240,10752
5400,29740,3633,40967,52226,10752,10496,10752
5400,29740,3633,40967,52226,10752,10496,10752
7960,33580,8241,39687,50434,10496,10240,10752
7960,33580,8241,39687,50434,10496,10240,10752
55831,4908,45872,39687,52226,10496,10752,10752
55831,4908,45872,39687,52226,10496,10752,10752
536,24620,64816,39431,52226,10752,10496,10496
536,24620,64816,39431,52226,10752,10496,10496
4888,30764,5169,40455,52226,10752,10496,10752
4888,30764,5169,40455,52226,10752,10496,10752
8728,37164,11057,40199,50946,10752,10496,10752
8728,37164,11057,40199,50946,10752,10496,10752
11544,40748,16177,38151,51458,10752,10240,10496
11544,40748,16177,38151,51458,10752,10240,10496
