sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8
29712,58670,58418,25863,55810,10496,10496,10496
42768,20271,19251,27143,56578,10752,10496,10752
42768,20271,19251,27143,56578,10752,10496,10752
42000,23855,23859,27399,55554,10496,10240,10496
42000,23855,23859,27399,55554,10496,10240,10496
39696,18479,18483,28167,56066,10752,10496,10752
39696,18479,18483,28167,56066,10752,10496,10752
28688,55086,53810,28423,56066,10752,10496,10752
28688,55086,53810,28423,56066,10752,10496,10752
28688,54062,53042,28679,56322,11008,10496,10496
28688,54062,53042,28679,56322,11008,10496,10496
31504,61230,59186,28679,56066,10496,10752,10752
31504,61230,59186,28679,56066,10496,10752,10752
33808,1839,307,28679,56066,10752,10496,10496
33808,1839,307,28679,56066,10752,10496,10496
46352,31023,30259,29191,56066,10496,10496,10752
46352,31023,30259,29191,56066,10496,10496,10752
35600,11055,10291,29959,56066,10496,10496,10496
35600,11055,10291,29959,56066,10496,10496,10496
29968,61742,60466,29447,55810,10496,10496,10496
29968,61742,60466,29447,55810,10496,10496,10496
48400,39471,38963,29447,56578,10240,10240,11008
48400,39471,38963,29447,56578,10240,10240,11008
46608,27951,26419,26375,56066,11008,10752,10752
46608,27951,26419,26375,56066,11008,10752,10752
46352,32815,33331,28167,56322,10752,10496,10752
46352,32815,33331,28167,56322,10752,10496,10752
48400,33327,34355,28423,56066,10752,10496,11008
48400,33327,34355,28423,56066,10752,10496,11008
26896,49454,48434,28167,56066,10752,10496,10752
26896,49454,48434,28167,56066,10752,10496,10752
45328,28719,28467,27911,56066,10752,10496,10496
45328,28719,28467,27911,56066,10752,10496,10496
30736,59182,59186,26375,55810,10496,10240,10752
30736,59182,59186,26375,55810,10496,10240,10752
40976,20015,19763,26887,55810,10752,10240,10496
40976,20015,19763,26887,55810,10752,10240,10496
43024,23855,23347,27399,56322,10752,10496,10752
43024,23855,23347,27399,56322,10752,10496,10752
40208,17711,17459,28167,56322,10496,10496,10496
40208,17711,17459,28167,56322,10496,10496,10496
30224,57390,56114,27655,56066,10496,10240,10752
30224,57390,56114,27655,56066,10496,10240,10752
27664,53038,51762,26119,55554,10752,10496,10752
27664,53038,51762,26119,55554,10752,10496,10752
39696,13103,12083,26887,56066,10496,10240,11008
39696,13103,12083,26887,56066,10496,10240,11008
41744,18735,17971,28935,56066,10496,10496,10496
41744,18735,17971,28935,56066,10496,10496,10496
25616,49966,48434,27911,55554,10496,10496,10496
25616,49966,48434,27911,55554,10496,10496,10496
36624,10543,9267,28423,55554,10496,10496,10752
36624,10543,9267,28423,55554,10496,10496,10752
47376,35119,35379,28423,55810,10496,10240,10496
47376,35119,35379,28423,55810,10496,10240,10496
26640,48174,46642,26631,55810,10496,10496,10752
26640,48174,46642,26631,55810,10496,10496,10752
28944,55854,54322,25095,56066,11008,10240,10496
28944,55854,54322,25095,56066,11008,10240,10496
34576,62510,61746,24327,55810,10752,10496,10752
34576,62510,61746,24327,55810,10752,10496,10752
37648,4655,3379,25095,55810,10752,10240,10752
37648,4655,3379,25095,55810,10752,10240,10752
40720,11823,10035,26631,55554,10240,10496,10752
40720,11823,10035,26631,55554,10240,10496,10752
29968,52270,50482,26375,55298,10496,10752,10752
29968,52270,50482,26375,55298,10496,10752,10752
48656,34607,34867,27911,55810,10496,10496,10752
48656,34607,34867,27911,55810,10496,10496,10752
27152,50734,50226,26375,55554,10496,10240,10752
27152,50734,50226,26375,55554,10496,10240,10752
32784,59182,57138,27399,56322,10496,10496,10496
32784,59182,57138,27399,56322,10496,10496,10496
44304,18991,17715,26119,56322,10752,10240,10752
44304,18991,17715,26119,56322,10752,10240,10752
51984,38959,39219,25607,56322,10496,10496,10752
51984,38959,39219,25607,56322,10496,10496,10752
38672,9263,7731,26887,55810,10496,10240,10240
38672,9263,7731,26887,55810,10496,10240,10240
49424,34351,33843,26887,55298,10752,10240,10752
49424,34351,33843,26887,55298,10752,10240,10752
43536,18479,18483,27399,55298,10752,10496,10752
43536,18479,18483,27399,55298,10752,10496,10752
38672,5167,3891,26375,55810,10496,10496,10752
38672,5167,3891,26375,55810,10496,10496,10752
40208,11055,10803,26375,55298,11008,10496,10752
40208,11055,10803,26375,55298,11008,10496,10752
42256,16175,16179,27911,55554,10496,10240,10752
42256,16175,16179,27911,55554,10496,10240,10752
49424,24111,22323,28167,55810,10752,10496,10752
49424,24111,22323,28167,55810,10752,10496,10752
47632,23343,23091,28679,55298,10496,10496,10752
47632,23343,23091,28679,55298,10496,10496,10752
43280,11823,10803,28423,55554,10752,10496,10752
43280,11823,10803,28423,55554,10752,10496,10752
49424,26159,24371,29191,55810,10752,10240,10752
49424,26159,24371,29191,55810,10752,10240,10752
47376,22063,21299,29703,55298,10496,10496,10752
47376,22063,21299,29703,55298,10496,10496,10752
36112,1583,819,27655,55298,10752,10240,10752
36112,1583,819,27655,55298,10752,10240,10752
40976,9007,8243,27911,55554,10496,10752,10752
40976,9007,8243,27911,55554,10496,10752,10752
35856,60974,58674,29447,56066,10752,10752,10752
35856,60974,58674,29447,56066,10752,10752,10752
32272,53806,50994,28423,56066,10752,10496,11008
32272,53806,50994,28423,56066,10752,10496,11008
40720,8495,7475,29191,56066,10752,10496,10752
40720,8495,7475,29191,56066,10752,10496,10752
43536,14895,13875,28679,56066,11008,10240,10752
43536,14895,13875,28679,56066,11008,10240,10752
44048,18991,19251,28167,55298,10496,10240,10496
