sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8
17936,15657,819,32519,56834,10752,10240,10752
17936,15657,819,32519,56834,10752,10240,10752
22288,23593,7731,32007,56834,10752,10496,10752
22288,23593,7731,32007,56834,10752,10496,10752
12048,63016,44850,30983,56578,10752,10752,10752
12048,63016,44850,30983,56578,10752,10752,10752
21264,16681,51,30727,56578,10752,10496,10752
21264,16681,51,30727,56578,10752,10496,10752
28944,35369,21043,31495,56834,10752,10240,10752
28944,35369,21043,31495,56834,10752,10240,10752
16400,8233,56370,29959,56322,10752,10496,10752
16400,8233,56370,29959,56322,10752,10496,10752
10256,59944,41522,30215,55554,10752,10752,11008
10256,59944,41522,30215,55554,10752,10752,11008
24848,30505,16179,31239,56066,10752,10496,10752
24848,30505,16179,31239,56066,10752,10496,10752
12560,4137,52274,29959,56066,10496,10752,10752
12560,4137,52274,29959,56066,10496,10752,10752
31760,46121,33075,29703,56066,10496,10240,10752
31760,46121,33075,29703,56066,10496,10240,10752
17168,13353,63794,30983,56578,10496,10496,10496
17168,13353,63794,30983,56578,10496,10496,10496
13584,2089,48946,29959,56578,10752,10496,11008
13584,2089,48946,29959,56578,10752,10496,11008
24592,23081,9779,30471,56322,10752,10496,11008
24592,23081,9779,30471,56322,10752,10496,11008
27920,31017,16435,29959,56578,11008,10496,10752
27920,31017,16435,29959,56578,11008,10496,10752
27664,33065,21555,29703,56322,10752,10240,10496
27664,33065,21555,29703,56322,10752,10240,10496
29712,34601,21043,32007,56578,10752,10752,11008
29712,34601,21043,32007,56578,10752,10752,11008
19984,11561,62514,30215,56066,10752,10496,10752
19984,11561,62514,30215,56066,10752,10496,10752
13840,1577,49458,30727,56322,10752,10496,10496
13840,1577,49458,30727,56322,10752,10496,10496
14608,5417,55602,29447,56066,10752,10496,10752
14608,5417,55602,29447,56066,10752,10496,10752
19472,14633,63282,30471,56578,10496,10752,11008
19472,14633,63282,30471,56578,10496,10752,11008
32784,44585,31027,30215,56578,10496,10496,10496
32784,44585,31027,30215,56578,10496,10496,10496
15376,5161,53810,29447,56066,10496,9984,10752
15376,5161,53810,29447,56066,10496,9984,10752
20240,14121,62002,29959,56066,10752,10496,10752
20240,14121,62002,29959,56066,10752,10496,10752
20496,20265,3891,29447,56578,11008,10240,10496
20496,20265,3891,29447,56578,11008,10240,10496
22288,24873,10547,28167,55810,10496,10240,10496
22288,24873,10547,28167,55810,10496,10240,10496
25616,31529,16947,28167,56322,10496,10240,11008
25616,31529,16947,28167,56322,10496,10240,11008
14608,809,47922,29191,56578,10752,10496,10752
14608,809,47922,29191,56578,10752,10496,10752
24592,27177,9267,29959,56066,10496,10496,11008
24592,27177,9267,29959,56066,10496,10496,11008
25360,23849,6451,29959,56834,10496,10496,10496
25360,23849,6451,29959,56834,10496,10496,10496
13584,1577,47410,29191,56066,10496,10496,10496
13584,1577,47410,29191,56066,10496,10496,10496
14608,7209,54066,29959,56322,10752,10496,11008
14608,7209,54066,29959,56322,10752,10496,11008
17168,12841,60978,29703,55810,10752,10496,10752
17168,12841,60978,29703,55810,10752,10496,10752
21264,17449,2099,28935,55810,10496,10496,10496
21264,17449,2099,28935,55810,10496,10496,10496
27664,33065,20019,29447,56066,10496,10240,10752
27664,33065,20019,29447,56066,10496,10240,10752
24080,24873,11571,29703,55810,11008,10240,10752
24080,24873,11571,29703,55810,11008,10240,10752
11536,63528,46642,28679,56322,10752,10240,10752
11536,63528,46642,28679,56322,10752,10240,10752
16144,4649,52530,28423,56322,10752,10240,10752
16144,4649,52530,28423,56322,10752,10240,10752
17424,12585,59698,29959,56578,10496,10496,10496
17424,12585,59698,29959,56578,10496,10496,10496
22032,20777,1843,29959,55810,10752,10496,10752
22032,20777,1843,29959,55810,10752,10496,10752
25616,26921,8755,28679,56066,10752,10496,10496
25616,26921,8755,28679,56066,10752,10496,10496
29200,33065,15667,29959,56066,10752,10240,10752
29200,33065,15667,29959,56066,10752,10240,10752
13584,1065,46898,29191,56322,10752,10496,10752
13584,1065,46898,29191,56322,10752,10496,10752
16912,6697,53810,29959,56834,10496,10240,10496
16912,6697,53810,29959,56834,10496,10240,10496
28432,27177,11315,30727,56322,10752,10496,11008
28432,27177,11315,30727,56322,10752,10496,11008
32784,36137,21811,30727,56834,10496,10496,10752
32784,36137,21811,30727,56834,10496,10496,10752
21776,10281,57906,30471,56834,10752,10496,10752
21776,10281,57906,30471,56834,10752,10496,10752
24336,17193,64818,33543,56322,10752,10496,10752
24336,17193,64818,33543,56322,10752,10496,10752
27664,23081,6451,33031,56322,10752,10240,10752
27664,23081,6451,33031,56322,10752,10240,10752
30480,30505,13875,30983,56834,10496,10496,10496
30480,30505,13875,30983,56834,10496,10496,10496
30992,34857,20275,30983,57346,10496,10496,11008
30992,34857,20275,30983,57346,10496,10496,11008
39952,53801,39475,30727,57090,10496,10496,10496
39952,53801,39475,30727,57090,10496,10496,10496
18960,12585,58674,31239,56834,10752,10496,10752
18960,12585,58674,31239,56834,10752,10496,10752
29712,35625,19763,29447,56834,10240,10752,10752
29712,35625,19763,29447,56834,10240,10752,10752
30992,37929,21811,29959,56834,10496,10496,10496
30992,37929,21811,29959,56834,10496,10496,10496
19472,10281,58162,29191,56578,10752,10496,10752
19472,10281,58162,29191,56578,10752,10496,10752
22800,17449,51,28423,56834,10752,10496,10496
22800,17449,51,28423,56834,10752,10496,10496
30480,30505,14387,28679,57090,10752,10496,10496
30480,30505,14387,28679,57090,10752,10496,10496
30736,32553,16947,29703,56834,10752,10496,10752
30736,32553,16947,29703,56834,10752,10496,10752
15888,2089,47666,28679,56578,10752,10496,10752
15888,2089,47666,28679,56578,10752,10496,10752
26896,23593,6963,28167,56578,10752,10496,10752
26896,23593,6963,28167,56578,10752,10496,10752
27408,29225,14387,28423,56322,11008,10240,10752
27408,29225,14387,28423,56322,11008,10240,10752
33552,36649,20531,29191,56578,10752,10496,10752
33552,36649,20531,29191,56578,10752,10496,10752
33296,36393,21811,29959,57090,10752,10496,10496
33296,36393,21811,29959,57090,10752,10496,10496
29712,25385,11315,27911,56322,10752,9984,10752
29712,25385,11315,27911,56322,10752,9984,10752
16912,809,47154,28423,56834,10752,10240,10752
16912,809,47154,28423,56834,10752,10240,10752
20752,6953,54066,27911,56578,10752,10240,10496
20752,6953,54066,27911,56578,10752,10240,10496
20496,10793,60466,28935,55810,10752,10240,10496
20496,10793,60466,28935,55810,10752,10240,10496
25616,21545,3123,28167,56834,10496,10496,10496
25616,21545,3123,28167,56834,10496,10496,10496
26640,25385,9779,28679,56322,10496,10496,10752
26640,25385,9779,28679,56322,10496,10496,10752
27152,19241,2355,29191,57090,10752,10752,10752
27152,19241,2355,29191,57090,10752,10752,10752
30224,32041,16435,28679,56322,10752,10496,10496
30224,32041,16435,28679,56322,10752,10496,10496
32784,37161,21811,29447,56578,10496,10240,10752
32784,37161,21811,29447,56578,10496,10240,10752
20496,12073,59954,29191,57346,10752,10496,10752
20496,12073,59954,29191,57346,10752,10496,10752
24080,19497,1843,29447,57090,10496,10496,11008
24080,19497,1843,29447,57090,10496,10496,11008
30480,32809,18995,29447,56322,10752,10496,10752
30480,32809,18995,29447,56322,10752,10496,10752
22288,12329,59186,28935,56578,10752,10496,10752
22288,12329,59186,28935,56578,10752,10496,10752
30736,29737,15923,29703,56322,10496,10496,10496
30736,29737,15923,29703,56322,10496,10496,10496
35088,37417,23091,29447,57090,10752,10752,10752
35088,37417,23091,29447,57090,10752,10752,10752
29968,30505,15411,30215,58114,10752,10752,10752
29968,30505,15411,30215,58114,10752,10752,10752
22032,14377,563,28167,57346,11008,10752,10752
