sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8
17928,43824,1844,32007,54018,10496,10752,10496
15624,45616,3636,33543,54530,10496,10240,11008
15624,45616,3636,33543,54530,10496,10240,11008
8712,16432,39731,30215,53762,10752,10496,10496
8712,16432,39731,30215,53762,10752,10496,10496
10504,24112,47155,32519,54018,10496,10496,10496
10504,24112,47155,32519,54018,10496,10496,10496
16648,36912,60467,32007,53506,10496,10496,10496
16648,36912,60467,32007,53506,10496,10496,10496
11272,15920,38707,30983,54274,10496,10496,10496
11272,15920,38707,30983,54274,10496,10496,10496
13320,22320,44851,32263,54018,11008,10496,10496
13320,22320,44851,32263,54018,11008,10496,10496
19208,47408,5684,32519,54274,10752,10240,10496
19208,47408,5684,32519,54274,10752,10240,10496
10504,11824,34867,32775,54530,10752,10496,10752
10504,11824,34867,32775,54530,10752,10496,10752
12296,18224,41523,33031,53506,10752,10240,10752
12296,18224,41523,33031,53506,10752,10240,10752
14088,24624,48179,32519,53762,10496,10496,10496
14088,24624,48179,32519,53762,10496,10496,10496
18440,36400,59955,31751,54274,10496,10752,11008
18440,36400,59955,31751,54274,10496,10752,11008
20232,40240,64051,31495,54274,10752,10240,10496
20232,40240,64051,31495,54274,10752,10240,10496
13832,12080,35379,30215,54274,10752,10240,11008
13832,12080,35379,30215,54274,10752,10240,11008
11528,9008,32051,28935,53762,10496,10496,10752
11528,9008,32051,28935,53762,10496,10496,10752
13320,15664,39219,31239,54274,10496,10496,10752
13320,15664,39219,31239,54274,10496,10496,10752
21000,41776,52,29959,54530,10496,10240,10752
21000,41776,52,29959,54530,10496,10240,10752
12040,6704,29235,32007,54274,11008,10240,10752
12040,6704,29235,32007,54274,11008,10240,10752
19976,33584,56883,31239,54786,10496,10496,10752
19976,33584,56883,31239,54786,10496,10496,10752
22024,40240,63027,31495,54018,10240,10496,10496
22024,40240,63027,31495,54018,10240,10496,10496
28168,63024,21812,32007,54274,10752,10240,10752
28168,63024,21812,32007,54274,10752,10240,10752
18440,30000,53299,32007,53506,10752,10752,10752
18440,30000,53299,32007,53506,10752,10752,10752
20232,35888,58931,32263,53506,10496,10496,10496
20232,35888,58931,32263,53506,10496,10496,10496
21256,41008,65075,31239,54530,10496,10496,10752
21256,41008,65075,31239,54530,10496,10496,10752
16648,7984,29747,31239,54530,10496,10240,10752
16648,7984,29747,31239,54530,10496,10240,10752
22536,36144,58931,31751,54274,10752,10496,10752
22536,36144,58931,31751,54274,10752,10496,10752
16904,17200,40243,30471,54018,10752,10496,10752
16904,17200,40243,30471,54018,10752,10496,10752
21000,24368,47667,31495,53250,10496,10496,10496
21000,24368,47667,31495,53250,10496,10496,10496
22024,31792,54579,32007,54018,10752,10240,10752
22024,31792,54579,32007,54018,10752,10240,10752
22024,35632,59699,30215,53250,10496,10240,10496
22024,35632,59699,30215,53250,10496,10240,10496
14344,1328,23603,31239,54274,11008,10496,10496
14344,1328,23603,31239,54274,11008,10496,10496
16392,9008,31027,30471,52994,10752,10240,10496
16392,9008,31027,30471,52994,10752,10240,10496
24840,51248,10036,30471,54018,10752,10496,10752
24840,51248,10036,30471,54018,10752,10496,10752
20744,18480,40499,30983,53762,10752,10496,10752
20744,18480,40499,30983,53762,10752,10496,10752
22536,24112,46899,31751,53762,10496,10496,11008
22536,24112,46899,31751,53762,10496,10496,11008
21768,30512,54323,31495,54018,10752,10240,10496
21768,30512,54323,31495,54018,10752,10240,10496
19720,14384,37171,31495,53250,10752,10496,10496
19720,14384,37171,31495,53250,10752,10496,10496
22792,21808,44339,30983,53762,10752,10496,10752
22792,21808,44339,30983,53762,10752,10496,10752
26888,28976,51251,31495,54274,10752,10752,10752
26888,28976,51251,31495,54274,10752,10752,10752
26632,34864,57907,29703,53762,11008,10496,10752
26632,34864,57907,29703,53762,11008,10496,10752
21256,2864,24627,30727,54530,10752,10496,10752
21256,2864,24627,30727,54530,10752,10496,10752
26888,41008,64051,31239,54530,10752,10496,10752
26888,41008,64051,31239,54530,10752,10496,10752
27912,45616,3892,30727,54274,10752,10240,10496
27912,45616,3892,30727,54274,10752,10240,10496
22280,15408,37683,29959,54018,10752,10496,10752
22280,15408,37683,29959,54018,10752,10496,10752
31752,41776,64563,30727,54786,10752,10240,10752
31752,41776,64563,30727,54786,10752,10240,10752
19464,6448,28723,30983,54530,10496,10496,10752
19464,6448,28723,30983,54530,10496,10496,10752
24840,14128,36403,30471,54274,10752,10496,10752
24840,14128,36403,30471,54274,10752,10496,10752
24840,24368,47155,30983,54018,10496,10496,11008
24840,24368,47155,30983,54018,10496,10496,11008
28424,32304,55091,29703,53762,11008,10496,10752
28424,32304,55091,29703,53762,11008,10496,10752
27400,36656,60723,30215,53762,10752,9984,10752
27400,36656,60723,30215,53762,10752,9984,10752
34824,44336,1844,30215,54530,10752,10240,10752
34824,44336,1844,30215,54530,10752,10240,10752
31240,45872,4660,28935,53506,10752,10496,10752
31240,45872,4660,28935,53506,10752,10496,10752
34568,45872,4148,29447,54530,10496,10496,10496
34568,45872,4148,29447,54530,10496,10496,10496
30728,27952,51763,30215,54018,10752,10496,10496
30728,27952,51763,30215,54018,10752,10496,10496
24584,7984,31027,29191,54018,10752,10240,10496
24584,7984,31027,29191,54018,10752,10240,10496
27144,15408,37939,29959,54530,10496,10496,11008
27144,15408,37939,29959,54530,10496,10496,11008
28168,20528,44083,30215,54274,10752,9984,10496
28168,20528,44083,30215,54274,10752,9984,10496
30216,28208,51507,31751,54018,10496,10496,10496
30216,28208,51507,31751,54018,10496,10496,10496
36872,42032,308,34311,55042,10752,10496,10752
36872,42032,308,34311,55042,10752,10496,10752
27400,18480,41523,32519,54018,10752,10496,10752
27400,18480,41523,32519,54018,10752,10496,10752
30216,26416,48691,33799,54274,10752,10496,10752
30216,26416,48691,33799,54274,10752,10496,10752
34056,38448,62259,34055,54530,10752,10496,10496
34056,38448,62259,34055,54530,10752,10496,10496
33544,36912,59955,31239,54530,10496,10496,10752
33544,36912,59955,31239,54530,10496,10496,10752
24840,560,22835,30727,54530,10752,10496,10752
24840,560,22835,30727,54530,10752,10496,10752
27144,7216,29235,31495,54786,10752,10496,10752
27144,7216,29235,31495,54786,10752,10496,10752
36360,37424,60467,32519,54018,10752,10240,10496
36360,37424,60467,32519,54018,10752,10240,10496
37640,44592,1844,32007,54018,10496,10752,10752
37640,44592,1844,32007,54018,10496,10752,10752
31752,25136,47155,32263,53762,11008,10496,10752
31752,25136,47155,32263,53762,11008,10496,10752
27656,9520,31027,32775,54786,10496,10496,10752
27656,9520,31027,32775,54786,10496,10496,10752
37640,53296,11316,32519,54786,10752,10496,10752
37640,53296,11316,32519,54786,10752,10496,10752
36872,41776,564,33543,54530,10496,10496,11008
36872,41776,564,33543,54530,10496,10496,11008
29960,25136,48435,33799,54274,10752,10496,10752
29960,25136,48435,33799,54274,10752,10496,10752
36104,50992,10292,31495,53250,10496,10496,10752
36104,50992,10292,31495,53250,10496,10496,10752
29192,16432,39987,31495,54274,10496,10240,10496
29192,16432,39987,31495,54274,10496,10240,10496
31496,23088,46131,31751,53506,10752,10240,10752
31496,23088,46131,31751,53506,10752,10240,10752
34056,30000,53299,33543,53762,10496,10752,10496
34056,30000,53299,33543,53762,10496,10752,10496
33544,36912,60723,34055,53762,10752,10240,10752
33544,36912,60723,34055,53762,10752,10240,10752
37128,43312,1332,32007,54274,10752,10752,10752
37128,43312,1332,32007,54274,10752,10752,10752
26376,8240,30771,30983,53506,11008,10496,10752
26376,8240,30771,30983,53506,11008,10496,10752
34824,34608,58675,32007,54530,10496,10496,10752
34824,34608,58675,32007,54530,10496,10496,10752
34824,40752,64819,30983,54274,10752,10496,10752
34824,40752,64819,30983,54274,10752,10496,10752
35080,42288,1332,32263,54786,10752,10240,10752
35080,42288,1332,32263,54786,10752,10240,10752
27144,9008,31539,32519,54786,10496,10240,10752
27144,9008,31539,32519,54786,10496,10240,10752
29960,15664,38963,30983,54018,11008,10240,10752
29960,15664,38963,30983,54018,11008,10240,10752
33544,39472,63795,29959,54274,10752,10240,10752
33544,39472,63795,29959,54274,10752,10240,10752
35592,45616,4916,30215,54274,10496,10496,10752
35592,45616,4916,30215,54274,10496,10496,10752
32776,45360,5684,32007,54530,10752,9984,11008
32776,45360,5684,32007,54530,10752,9984,11008
30728,27952,52787,30471,54018,10752,10496,10752
30728,27952,52787,30471,54018,10752,10496,10752
23816,6448,30515,29447,53762,11008,10752,10752
23816,6448,30515,29447,53762,11008,10752,10752
26632,13616,36915,31751,53506,10752,10496,10752
26632,13616,36915,31751,53506,10752,10496,10752
28168,18992,43059,32263,53762,10496,10496,10752
28168,18992,43059,32263,53762,10496,10496,10752
33288,39984,65331,29959,54018,10752,10240,10496
33288,39984,65331,29959,54018,10752,10240,10496
26376,10032,33331,29191,54530,10752,10496,10752
26376,10032,33331,29191,54530,10752,10496,10752
25864,15920,39987,29447,53762,10752,10496,10752
25864,15920,39987,29447,53762,10752,10496,10752
30216,22832,46643,29447,54786,10752,10496,10752
30216,22832,46643,29447,54786,10752,10496,10752
31496,41264,1332,28679,54530,10496,10240,10752
31496,41264,1332,28679,54530,10496,10240,10752
34824,45360,5684,29447,54786,11008,10496,10752
