sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8
2822,24880,24628,39431,55298,10496,10240,10752
4102,31280,31540,38663,55554,10496,10496,10496
4102,31280,31540,38663,55554,10496,10496,10496
8966,57136,58164,39175,56066,10752,10240,11008
8966,57136,58164,39175,56066,10752,10240,11008
9734,52784,53300,37127,56578,10752,10496,11008
9734,52784,53300,37127,56578,10752,10496,11008
6150,39216,40500,39431,55810,10496,10496,10752
6150,39216,40500,39431,55810,10496,10496,10752
1798,34096,34612,36359,55554,10752,10752,10752
1798,34096,34612,36359,55554,10752,10752,10752
5126,40496,41524,36871,56066,10752,10496,10752
5126,40496,41524,36871,56066,10752,10496,10752
2822,44848,47412,36615,55042,10752,10496,10752
2822,44848,47412,36615,55042,10752,10496,10752
2054,11568,11060,35591,55810,10496,10496,10752
2054,11568,11060,35591,55810,10496,10496,10752
6662,56368,58676,34823,55042,10496,10496,10752
6662,56368,58676,34823,55042,10496,10496,10752
7686,49968,50996,36615,55810,10752,10496,10496
7686,49968,50996,36615,55810,10752,10496,10496
3590,28464,29236,35335,55810,10752,10496,10496
3590,28464,29236,35335,55810,10752,10496,10496
6150,35376,36660,37639,55554,10752,10240,10752
6150,35376,36660,37639,55554,10752,10240,10752
9990,43056,43828,38151,55554,10752,10496,10752
9990,43056,43828,38151,55554,10752,10496,10752
9990,49200,50228,38663,55810,10496,10496,10752
9990,49200,50228,38663,55810,10496,10496,10752
13574,4145,6709,38663,55554,10496,10496,10496
13574,4145,6709,38663,55554,10496,10496,10496
6150,21040,21044,38407,55810,10752,10240,10752
6150,21040,21044,38407,55810,10752,10240,10752
14598,47152,48180,36871,55810,10752,10240,10752
14598,47152,48180,36871,55810,10752,10240,10752
5894,12080,12340,37639,55298,10752,10240,10752
5894,12080,12340,37639,55298,10752,10240,10752
4102,18992,18996,37383,55042,10752,10496,10496
4102,18992,18996,37383,55042,10752,10496,10496
4614,24880,25908,36871,55298,10752,10496,10752
4614,24880,25908,36871,55298,10752,10496,10752
6406,32048,33588,36359,55298,10496,10240,10752
6406,32048,33588,36359,55298,10496,10240,10752
9222,39216,41012,35591,55298,10752,10240,10752
9222,39216,41012,35591,55298,10752,10240,10752
11526,64304,2101,36871,55298,10496,10496,10752
11526,64304,2101,36871,55298,10496,10496,10752
2822,11312,12084,37383,55554,10752,10240,10752
2822,11312,12084,37383,55554,10752,10240,10752
7174,18480,18996,36615,55298,10496,10240,10752
